Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,20/06/2014,Equalities Helpline Service,GEO Equality Support Helpline,Sitel (UK) Ltd,30035622,143172.95,MILESTONE 1/2/3 MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,20/06/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Sitel (UK) Ltd,30035622,28634.58,MILESTONE 1/2/3 MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,23/06/2014,Learning & Development,Central Learning & Development,Oxford Said Business School Ltd,30035646,30000,9TH COHORT LEADERSHIP ACADEMY (MPLA)
Department for Culture Media and Sport,Department for Culture Media and Sport,23/06/2014,Capital Grant Private Sector,Broadband UK Capital+Programme,Arqiva Limited,30035672,281549.5,MIP PERFORMANCE MAY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,25/06/2014,Research,EAU Taking Part Survey,TNS UK LTD,30035677,112446,TAKING PART SURVEY 2014/15 Y10 MAY FIELDWORK
Department for Culture Media and Sport,Department for Culture Media and Sport,25/06/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30035677,22489.2,TAKING PART 2014/15 Y10 MAY FIELDWORK
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2014,Current Grants Private Sector,LPW Programme Costs,Topmark Claims Management Ltd,30035692,60000,FUNDING FOR LPW 230614_270614
Department for Culture Media and Sport,Department for Culture Media and Sport,25/06/2014,Capital Grants to LAs,Broadband UK Capital+Programme,NYnet Ltd,30035715,3970872,BDUK RURAL/NYNET/C7/M7/JUN
Department for Culture Media and Sport,Department for Culture Media and Sport,25/06/2014,Capital Grants to LAs,Broadband UK Capital+Programme,Durham County Council,30035716,715358,BDUK RURAL-DURH/C2/MM1&2001/MAY
Department for Culture Media and Sport,Department for Culture Media and Sport,25/06/2014,Capital Grants to LAs,Broadband UK Capital+Programme,Isle of Wight Council,30035717,138662,"BDUK RURAL IOW/C1/MM0 001/002, M1 001, M"
Department for Culture Media and Sport,Department for Culture Media and Sport,25/06/2014,Capital Grants to LAs,Broadband UK Capital+Programme,Oxfordshire County Council,30035718,773096,BDUK RURAL-OFXD/C1/M012/MAY
Department for Culture Media and Sport,Department for Culture Media and Sport,27/06/2014,Capital Grants to LAs,Broadband UK Capital+Programme,Newcastle City Council,30035753,63704,"RURAL-NEWC/C1/MM0 001,M1 001,M2 001/MAY"
Department for Culture Media and Sport,Department for Culture Media and Sport,27/06/2014,Capital Grants to LAs,Broadband UK Capital+Programme,West Berkshire Council,30035764,68063,BDUK RURAL-BERK/C1/MM0001/MAY
Department for Culture Media and Sport,Department for Culture Media and Sport,30/06/2014,Current Grants Private Sector,LPW Programme Costs,Topmark Claims Management Ltd,30035768,60000,Funding for LPW 300614_040714
Department for Culture Media and Sport,Department for Culture Media and Sport,26/06/2014,Management Consultants,Broadband Delivery UK (Admin),KPMG LLP,30035794,27745,MAJOR INFRASTCUTURE PROJECT - Project Review
Department for Culture Media and Sport,Department for Culture Media and Sport,26/06/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,KPMG LLP,30035794,5549,MIP Project Review
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,50001172,102083,ORNC GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,50001173,61083,SGSA GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant to OGD (Resource),Architecture + heritage progs,The Treasurer to the Queen,50001174,30532,MH GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Gambling + Lottery bodies,National Lottery Commission,50001176,240738,NLC GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Olympic Delivery Authority,Olympic Delivery Authority (GIA),50001177,21000000,ODA GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Wallace Collection,50001179,238500,TWC GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,50001180,129957,GM GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Gallery,50001181,1253492,NG GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,50001182,324000,HM GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,50001183,573667,NPG GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Maritime Museum,50001184,1167241,RMG GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,50001185,68770,SJSM GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Tourism bodies,VisitBritain,50001186,4634000,VB GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001187,35595000,BBC GIA JUNE 2011 PT1
Department for Culture Media and Sport,Department for Culture Media and Sport,06/06/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001188,35595000,BBC GIA JUNE 2014 PT2
Department for Culture Media and Sport,Department for Culture Media and Sport,11/06/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001189,142380000,BBC GIA JUNE 2014 PT3
Department for Culture Media and Sport,Department for Culture Media and Sport,18/06/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001190,35595000,BBC GIA JUNE 2014 PT4
Department for Culture Media and Sport,Department for Culture Media and Sport,25/06/2014,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50001191,35595000,BBC GIA JUNE 2014 PT5
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA to Equalities Bodies,GIA - EHRC,50001192,1371716,EHRC_GIA_ JUNE_14
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Victoria & Albert Museum,50001193,2589250,VA _GIA_JUNE_14
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,50001194,240000,CCT GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,50001195,32342000,ACE GIA JUNE #1 OF 4
Department for Culture Media and Sport,Department for Culture Media and Sport,09/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,50001196,4800000,ACE GIA JUNE #2 OF 4
Department for Culture Media and Sport,Department for Culture Media and Sport,16/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,50001197,3287000,ACE GIA JUNE #3 OF 4
Department for Culture Media and Sport,Department for Culture Media and Sport,23/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,50001198,217000,ACE GIA JUNE #4 OF 4
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Sports Council,50001199,805771,UKS GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,English Heritage,50001200,6500000,EH GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Anti Doping Ltd,50001201,441000,UKAD GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,50001202,2500000,SE GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001203,318520,JUNE ORHPAN COSTS
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001204,3163331,JUNE SPECTRUM MANAGEMENT
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,50001205,1693632,NML GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,The Royal Armouries,50001206,665442,RA GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),50001207,4000000,SMG GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Tate Gallery,50001208,2679083,TATE GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,British Museum,50001209,3840967,BM GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,British Library,50001210,1856385,BL GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,50001211,1448427,IWM GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,50001212,3615000,NHM GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,02/06/2014,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,50001213,2095211,BFI GIA JUNE 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2014,Capital Grant Private Sector,Grant support to NFTS,National Film & Television School,50001214,225500,NFTS GIA JUNE 2014
