Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001835753,"31,410.73",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001835756,"67,419.88",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER,1001835756,"70,341.81",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR LANCASHIRE (THE),1001835767,"52,721.18",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001835770,"86,001.87",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001835771,"113,916.22",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SUSSEX (THE),1001835772,"68,734.94",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001835800,"77,781.25",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1001835801,"65,730.84",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,WEST MERCIA PCC,1001835810,"34,405.37",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,25/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001835811,"136,292.45",,,,,,,,
Home Office ,DBS - Disclosure & Barring Service,26/02/2016,Criminal Record checks,DBS - Disclosure & Barring Service,HOME OFFICE,9000232,"302,319.96",,,,,,,,
Home Office ,Home Office ,05/02/2016,"IT, Broadcasting & Telecomms Components",CSL - Civil Service Learning ,KAINOS,1001828370,"53,001.00",,,,,,,,
Home Office ,Home Office ,01/02/2016,Grant,CPG - Crime & Policing Group,REFUGE (G),1001825876,"125,000.00",,,,,,,,
Home Office ,Home Office ,01/02/2016,Grant,CPG - Crime & Policing Group,RESPECT (G),1001825877,"60,000.00",,,,,,,,
Home Office ,Home Office ,01/02/2016,"IT, TelecommsManaged Service",CPG - Crime & Policing Group,SELEX ES LTD,1001826128,"130,540.60",,,,,,,,
Home Office ,Home Office ,02/02/2016,Social Research,CPG - Crime & Policing Group,CHARTERED INSTITUTE OF PUBLIC FINANCE & ACCOUNTANCY (CIPFA)  BUSINESS LTD (THE),1001826722,"40,200.00",,,,,,,,
Home Office ,Home Office ,02/02/2016,Social Research,CPG - Crime & Policing Group,CHARTERED INSTITUTE OF PUBLIC FINANCE & ACCOUNTANCY (CIPFA)  BUSINESS LTD (THE),1001826722,"3,600.00",,,,,,,,
Home Office ,Home Office ,02/02/2016,Professional & Admin Services,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001826748,"133,033.66",,,,,,,,
Home Office ,Home Office ,02/02/2016,Professional & Admin Services,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001826748,"162,301.77",,,,,,,,
Home Office ,Home Office ,02/02/2016,Grant,CPG - Crime & Policing Group,STANDING TOGETHER (G),1001826590,"30,000.00",,,,,,,,
Home Office ,Home Office ,03/02/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001827084,"8,802,036.00",,,,,,,,
