Department,Entity,Payment date,Transaction Number,Invoice Amount (GBP),Supplier ,Account Description
FCO,FCO,8/12/2013,4324474,"30,041.00",ADVICE ON INDIVIDUAL RIGHTS IN EUROPE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/12/2013,4397706,"27,213.36",ADYAN FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/13/2013,4261549,"41,776.00",AEGIS DEFENCE SERVICES LTD,Local Guards
FCO,FCO,8/14/2013,4323653,"44,760.00",AEGIS DEFENCE SERVICES LTD,Local Guards
FCO,FCO,8/15/2013,4365020,"63,364.00",AEGIS DEFENCE SERVICES LTD,Local Guards
FCO,FCO,8/16/2013,4365020,"46,252.00",AEGIS DEFENCE SERVICES LTD,Local Guards
FCO,FCO,8/28/2013,4416443,"249,115.30",AFGHANISTAN INDEPENDENT HUMAN RIGHTS COMMISSION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/15/2013,4403667,"75,974.38",AFRICAN SKIES LTD,Local Guards
FCO,FCO,8/15/2013,4403673,"73,523.59",AFRICAN SKIES LTD,Local Guards
FCO,FCO,8/23/2013,4400215,"228,735.10",AL FUTTAIM CARILLION LLC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/15/2013,4405427,"81,620.00",ALBANY ASSOCIATES INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/5/2013,4395222,"29,439.05",ALDAR PROPERTIES PJSC,Rental Payments - residential
FCO,FCO,8/6/2013,4397681,"76,009.70",ANEJ,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/7/2013,4418767,"42,750.00",APCO WORLDWIDE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/8/2013,4297907,"79,149.42",ARAB ORIENT INSURANCE COMPANY,Medical Supplies
FCO,FCO,8/9/2013,4324626,"87,454.98",ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/10/2013,4398639,"144,650.00",ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/11/2013,4398639,"37,399.98",ARK FZC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/14/2013,4402530,"490,511.00",ARTEOS GMBH,Pfi : Public/Private Partnership Consultants Fees Non-Residential
FCO,FCO,8/14/2013,4402530,"36,492.11",ARTEOS GMBH,Electricity Non-Residential
FCO,FCO,8/8/2013,4399108,"47,320.45",ARTICLE 19,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/9/2013,4420404,"40,564.53",ASCO MOTORS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/10/2013,4353766,"28,000.00",ATCP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/11/2013,4307972,"25,449.00",ATKINS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/29/2013,4419530,"35,991.36",ATKINS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/29/2013,4419533,"25,449.00",ATKINS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/29/2013,4419545,"53,324.64",ATKINS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/29/2013,4388026,"28,370.96",AUSTRALIA INDIA INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/20/2013,4409712,"48,165.14",BASHIR & SONS ENTERPRISE LOGISTICS SERVICES CO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/8/2013,4399373,"105,499.80",BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,8/12/2013,4401331,"111,088.00",BELFAST AIRPORT HANDLING LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/21/2013,4410708,"100,000.00",BELFAST INTERNATIONAL AIRPORT LTD,Inward visits to the UK and UK Conferences
FCO,FCO,8/21/2013,4410708,"57,162.00",BELFAST INTERNATIONAL AIRPORT LTD,Accommodation
FCO,FCO,8/21/2013,4381122,"57,223.11",BK SHRESTHA AND BUILDERS PVT LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/20/2013,4405176,"29,833.28",BK SHRESTHA AND BUILDERS PVT LTD,Construction Project more than £10k
FCO,FCO,8/20/2013,4407947,"53,240.41",BK SHRESTHA AND BUILDERS PVT LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,8/8/2013,4399309,"41,997.58",BRIGHT HORIZONS FAMILY SOLUTION LTD,Nursery Childcare Subsidy
FCO,FCO,8/9/2013,4352602,"25,394.65",BRITISH SCHOOL OF BRUSSELS,Local Education Allowance
FCO,FCO,8/10/2013,4352604,"25,394.65",BRITISH SCHOOL OF BRUSSELS,Local Education Allowance
FCO,FCO,8/11/2013,4352618,"25,394.65",BRITISH SCHOOL OF BRUSSELS,Local Education Allowance
