Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount (Sterling) 
DFID,DFID,02/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,UK CONSORTIUM ON AIDS AND INT.DEV.,400141204,"69,250.00"
DFID,DFID,02/02/2011,Aid to international organisations,Asia Division, UNICEF,400141209,"40,000.00"
DFID,DFID,03/02/2011,Aid to international organisations,Policy and Research Directorate,IBRD (HSBC)  C/O THE WORLD BANK,400141216,"500,000.00"
DFID,DFID,03/02/2011,"Property Repairs, Maintenance & Alterations",Human Resources Division,MITIE Technical Facilities Management Ltd,400141298,"5,477.16"
DFID,DFID,03/02/2011,Technical & Advisory services,Human Resources Division,MITIE Technical Facilities Management Ltd,400141298,366.22
DFID,DFID,03/02/2011,Accommodation costs,Human Resources Division,MITIE Technical Facilities Management Ltd,400141298,"9,184.06"
DFID,DFID,03/02/2011,"Property Repairs, Maintenance & Alterations",Human Resources Division,MITIE Technical Facilities Management Ltd,400141298,"11,241.99"
DFID,DFID,03/02/2011,"Property Repairs, Maintenance & Alterations",Human Resources Division,MITIE Technical Facilities Management Ltd,400141298,"7,154.52"
DFID,DFID,03/02/2011,Technical & Advisory services,Human Resources Division,MITIE Technical Facilities Management Ltd,400141298,748.27
DFID,DFID,03/02/2011,Accommodation costs,Human Resources Division,MITIE Technical Facilities Management Ltd,400141298,"15,741.77"
DFID,DFID,03/02/2011,"Property Repairs, Maintenance & Alterations",Human Resources Division,MITIE Technical Facilities Management Ltd,400141298,"20,186.22"
DFID,DFID,04/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,THE GLOBAL FORUM ON MSM AND HIV,400141319,"49,426.69"
DFID,DFID,03/02/2011,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",INTER AMERICAN DEVELOPMENT BANK,400141329,"750,000.00"
DFID,DFID,03/02/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,NAM PUBLICATIONS,400141335,"66,498.63"
DFID,DFID,04/02/2011,Aid to international organisations,East and Central Africa,NEPAD (International Partnership for Africa Fisheries),400141343,"631,370.00"
DFID,DFID,04/02/2011,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division", Norwegian Refugee Council,400141352,"200,000.00"
DFID,DFID,12/02/2011,Technical & Advisory services,International Relations Division,OXFORD POLICY MANAGEMENT,400141372,"126,743.42"
DFID,DFID,22/02/2011,Communications,Business Solutions Division Level,OGC BUYING SOLUTIONS,400141373,"145,821.04"
DFID,DFID,03/02/2011,Aid to international organisations,Policy and Research Directorate, OECD,400141397,"250,000.00"
DFID,DFID,03/02/2011,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",OXFAM,400141401,"82,726.00"
