Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,06/05/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,SKYSCAPE CLOUD SERVICES LTD,3000048360,159653.42,GOV.UK software development,GU140LX,SME,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA BUSINESS SERVICES LTD,3000048378,35485.11,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000048398,41286.12,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000048397,42934.49,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,READING ROOM LTD,3000048433,53086.75,GOV.UK development cost,W1D3JR,SME,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,TREASURY SOLICITOR TSOL,3000048407,56192.74,Legal services ,E145LB,Government Department,Admin
Cabinet Office,CABINET OFFICE,07/05/2014,STAFF RELATED COSTS,CABINET OFFICE SECURITY TEAM,FCO SERVICES,3000048408,91088.4,Vetting fees,MK101PX,Government Department,Admin
Cabinet Office,CABINET OFFICE,07/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000048378,92700.22,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,TOYE KENNING & SPENCER LTD,3000048421,99584.3,Replacement Insignia,CV128QR,SME,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,PUBLIC SERVICES NETWORK,LONDON BOROUGH OF CAMDEN,3000048430,103412,Rates charges,NW32ND,Large,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,PARITY RESOURCES LTD,3000048374,108274.7,Managed services for the GDS transformation project,EC2A3DR,SME,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,PUBLICITY ADVERTISING MEDIA,NATIONAL CITIZEN SERVICE,M4C,3000048373,177098.35,Radio advertising for National Citizen Service ,WC1R4HQ,SME,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000048378,203847.74,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,07/05/2014,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,GDS BUSINESS AND OFFICE COSTS,LONDON BOROUGH OF CAMDEN,3000048430,291160,Rates charges,NW32ND,Large,Programme
Cabinet Office,CABINET OFFICE,08/05/2014,OTHER LEGAL FEES,ERG DEBT MARKET INTEGRATOR,DLA PIPER UK LLP,1001017,30241.2,Legal services ,L20NH,Large,Admin
Cabinet Office,CABINET OFFICE,08/05/2014,OTHER IS IT COSTS VAT RECOV,NSS CRISIS MANAGEMENT,SOFTWARE BOX LTD,3000048471,30625.2,Software Licences for Secure IT system,YO611ET,Large,Admin
Cabinet Office,CABINET OFFICE,08/05/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,ANTHONY COLLINS SOLICITORS LLP,3000048449,33095.35,Support provided under the Mutuals Support Programme to support aspiring public service mutuals,B32ES,Large,Programme
Cabinet Office,CABINET OFFICE,08/05/2014,OTHER IS IT COSTS VAT RECOV,GDS BUSINESS TECHNOLOGY,SPECIALIST COMPUTER CENTRES PLC,3000048457,37883.89,GOV.UK software development ,WA37PS,Large,Programme
Cabinet Office,CABINET OFFICE,08/05/2014,OTHER IS IT COSTS VAT RECOV,CCS RESILIENT TELECOMMUNICATIONS,CORPORATE DOCUMENT SERVICES LTD,3000048480,44158.97,e-Pims enhancement,LS27LY,Large,Programme
Cabinet Office,CABINET OFFICE,08/05/2014,FM CONTRACT VARIABLE,NO 10 MAINTENANCE,BOUYGUES E&S FM UK LTD,3000048455,49808.84,Estate sevices,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,08/05/2014,ADDITIONS - F&FS,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000048455,104754.64,Estate services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,08/05/2014,AUC LH NON RES BUILDINGS,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000048455,145049,Estate services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,08/05/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,DURHAM COUNTY COUNCIL,3000048452,163879,Payment to fund the implementation of Individual Electoral Registration in 2014-15,ERS DH15UL,Large,Grants
Cabinet Office,CABINET OFFICE,08/05/2014,AUC LH NON RES BUILDINGS,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000048454,164176.56,Estate services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,08/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000048444,385349.09,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,09/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA RESOURCING LTD,3000048490,27634.7,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,09/05/2014,OTHER LEGAL FEES,ELECTIONS AND DEMOCRACY DIVISION,SCOTLAND OFFICE,3000437,30000,                                                                                                                                                                                                                   Reimbursement to Scotland Office for costs incurred for obtaining legal advice on Cabinet Office's behalf in relation to the electoral franchise (prisoner voting) ,EH37HW,Government Department,Admin
Cabinet Office,CABINET OFFICE,09/05/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,UNITED KINGDOM ACCREDITATION SERVICE UKAS,3000048511,42000,Testing for Identity Assurance Programme,TW134UN,Large,Programme
Cabinet Office,CABINET OFFICE,09/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,ALPINE CONSORTIUM,3000048515,76890,Payment for interim IT specialists,EC4A2AB,SME,Programme
Cabinet Office,CABINET OFFICE,09/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000048490,120343.14,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,09/05/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,UK TRADE & INVESTMENT,3000048491,170000,GREAT Campaign,NP108QQ,SME,Programme
Cabinet Office,CABINET OFFICE,09/05/2014,GRANT IN AID PRIVATE SECTOR,NCS IMB,NCS TRUST CIC,3000048521,1035507,National Citizen Service grant,ERS W1W5BB,Large,Grants
Cabinet Office,CABINET OFFICE,12/05/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000048555,32596.83,GOV.UK software development ,GU140LX,SME,Programme
Cabinet Office,CABINET OFFICE,12/05/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,PA CONSULTING SERVICES LTD,3000048530,34200,Support provided under the Mutuals Support Programme to support aspiring public service mutuals,SG86DP,SME,Programme
Cabinet Office,CABINET OFFICE,12/05/2014,ADDITIONS IT SOFTWARE,ERG DATA GOV UK,EDINA UNIVERSITY OF EDINBURGH,3000048557,48112.8,Software editing tool re-build,EH91PR,Large,Admin
Cabinet Office,CABINET OFFICE,12/05/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,SKYSCAPE CLOUD SERVICES LTD,3000048555,115153.57,GOV.UK software development,GU140LX,SME,Programme
Cabinet Office,CABINET OFFICE,12/05/2014,Research and Development (VAT recoverable),NATIONAL CITIZEN SERVICE,IPSOS MORI LTD,3000048560,401090.64,Evaluation of National Citizen Service ,SE11FY,Large,Programme
Cabinet Office,CABINET OFFICE,12/05/2014,TELECOM SECURITY SERVICES,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000048542,524903.98,High Integrity Telecomms System Project costs,SW1A2HB,Government Department,Programme
Cabinet Office,CABINET OFFICE,12/05/2014,GRANT IN AID PRIVATE SECTOR,NCS IMB,NCS TRUST CIC,3000048547,28832252,National Citizen Service grant,ERS W1W5BB,Large,Grants
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,SOUTHAMPTON CITY COUNCIL,3000048570,25257.6,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS SO147LY,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,BLAENAU GWENT COUNTY BOROUGH COUNCIL,3000048632,26092.8,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS NP236XB,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,BROXBOURNE BOROUGH COUNCIL,3000048642,26400,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS EN89XQ,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,SWINDON BOROUGH COUNCIL,3000048715,26455.2,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS SN12JH,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,MAIDSTONE BOROUGH COUNCIL,3000048725,26521.2,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS ME156JQ,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,NORWICH CITY COUNCIL,3000048703,26880,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS NR21NH,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,CITY OF YORK COUNCIL,3000048577,27253.2,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,YO16GA,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,NOTTINGHAM CITY COUNCIL,3000048732,27660,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,NG23NG,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,LONDON BOROUGH OF SUTTON,3000048592,27865.2,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS SM11EA,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,ELMBRIDGE BOROUGH COUNCIL,3000048618,28362,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS KT109SD,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000048788,28781.22,"Support, maintenance and minor develop of ePIMS ",LS27LY,Large,Admin
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,SHROPSHIRE COUNCIL,3000048705,29358,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS SY26ND,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,DENBIGHSHIRE COUNTY COUNCIL,3000048684,29410.8,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,LL151YN,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,BARNSLEY METROPOLITAN BOROUGH COUNCIL,3000048691,30128.52,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS S702AQ,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,DURHAM COUNTY COUNCIL,3000048621,30300,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS DH15UL,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,TONBRIDGE & MALLING BOROUGH COUNCIL,3000048782,31021.2,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS ME194LZ,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,CANTERBURY CITY COUNCIL,3000048674,32086.8,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS CT11YW,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,LONDON BOROUGH OF REDBRIDGE,3000048588,32232,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS IG11NY,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,RHONDDA CYNON TAFF CBC,3000048670,33120,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS CF399TE,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,WEST DORSET DISTRICT COUNCIL,3000048728,33242.5,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS DT11UZ,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,LONDON BOROUGH OF HILLINGDON,3000048613,41008.2,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS UB81UW,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,LIVERPOOL CITY COUNCIL,3000048581,44910,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS L22DH,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,CAERPHILLY COUNTY BOROUGH COUNCIL,3000048690,45285.6,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS CF827PG,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,BIRMINGHAM CITY COUNCIL,3000048647,46362,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,B47AD,SME,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000048694,83408.75,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,SUB-CONTRACTED TRAINING COURSE,ERTP ERO DELIVERY,HALAROSE LTD,3000048774,87582,"Electoral Registration Transformation Programme costs relating to the delivery of IT training for local authority staff on new Electoral Management Software functionality, including the development and production of supporting training materials",RG80RR,SME,Programme
Cabinet Office,CABINET OFFICE,13/05/2014,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,CCS RESILIENT TELECOMMUNICATIONS,ORDNANCE SURVEY,3000048693,250000,"Modelling work on the risk to the UK from a severe effusive gas-rich volcanic eruption, which is one of the highest priority risks in the National Risk Assessment",SO160AS,Government Department,Programme
Cabinet Office,CABINET OFFICE,14/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000048851,30770.54,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,14/05/2014,CONSULTANTS VAT RECOVERABLE,ERG DEBT MARKET INTEGRATOR,KPMG,3000048849,61349,Support for the Debt Market Integrator Project,WD171DE,Large,Admin
Cabinet Office,CABINET OFFICE,14/05/2014,TELECOM RENTALS,TELEPHONE SERVICES,VODAFONE LTD,1001025,63452.74,Mobile phone provision ,MK35JP,Large,Admin
Cabinet Office,CABINET OFFICE,14/05/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,WORCESTERSHIRE MEDAL SERVICE LTD,3000048813,156807.03,Replacement Insignia,B618LL,SME,Programme
Cabinet Office,CABINET OFFICE,14/05/2014,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000048838,261475.37,Shared services costs,M140WN,Large,Admin
Cabinet Office,CABINET OFFICE,15/05/2014,OTHER IS IT COSTS VAT RECOV,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,BRAMBLE CC LTD,3000048862,29000,Payment for interim IT specialists,SE17SP,SME,Programme
Cabinet Office,CABINET OFFICE,15/05/2014,OTHER IS IT COSTS VAT RECOV,NSS CRISIS MANAGEMENT,INVOLVE VISUAL COLLABORATION LTD,3000048901,36798,Audio visual support costs ,WA57WH,SME,Admin
Cabinet Office,CABINET OFFICE,15/05/2014,RESOURCE GRANTS PRIVATE SECTOR,ISA 2 Prog,CYBER SECURITY CHALLENGE UK LTD,1001027,45000,Cyber Security Schools Challenge funding,SE189JP,SME,Programme
Cabinet Office,CABINET OFFICE,15/05/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,VALTECH LTD,3000048864,54355,Managed services for the GDS transformation project,EC1A4JQ,SME,Programme
Cabinet Office,CABINET OFFICE,15/05/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,THOMAS FATTORINI LTD,3000048891,62630.1,Cost of medals and insignia used as part of the various Honours Lists ,B13HQ,SME,Programme
Cabinet Office,CABINET OFFICE,15/05/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,KAINOS SOFTWARE LTD,3000048886,72207.62,Managed services for the GDS transformation project,BT71NT,SME,Programme
Cabinet Office,CABINET OFFICE,15/05/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,LONDON BOROUGH OF CAMDEN,3000048858,102941,Payment for EU local government service website,NW32ND,Large,Programme
Cabinet Office,CABINET OFFICE,15/05/2014,Research and Development (VAT recoverable),SECTOR SUPPORT EVALUATIONS,TNS UK LTD,3000048875,150594.64,Community Life Survey costs,W51UA,SME,Grants
Cabinet Office,CABINET OFFICE,16/05/2014,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,KIDS COMPANY,3000048906,500000,"Improving Outcomes for Children, Young People and Families grant",SE59BS,Large,Grants
Cabinet Office,CABINET OFFICE,19/05/2014,CONSULTANCY SERVICES  'NOT' RECOVERABLE,CONSTITUTION GROUP,ENGINE PARTNERS UK LLP,3000048942,34979.74,Communications Support,W1W7RT,Large,Admin
Cabinet Office,CABINET OFFICE,19/05/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000048937,53900.16,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,19/05/2014,OTHER IS IT COSTS VAT RECOV,CERT,ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES INC,2000481,84171.47,"IT hardware to support the formation of CERT UK, which is a key component of the UK’s cyber security strategy. This will protect UK businesses by facilitating the sharing of information on cyber threats in real time using a secure virtual ‘collaboration environment’.  ",USA,SME,Programme
Cabinet Office,CABINET OFFICE,19/05/2014,CONSULTANTS VAT RECOVERABLE,ISSC2,PRICEWATERHOUSE COOPERS LLP,3000048954,209468,"Support for the Independent Shared Services Centre 2 project including development of financial models, business transfer agreements, transitional arrangements for services and assets, and stakeholder engagement.",SE12RD,Large,Admin
Cabinet Office,CABINET OFFICE,19/05/2014,CONSULTANTS VAT RECOVERABLE,ERG COMMERCIAL REFORM,PRICEWATERHOUSE COOPERS LLP,3000048935,641906.06,Support for the Commercial Reform Programme,SE12RD,Large,Admin
Cabinet Office,CABINET OFFICE,20/05/2014,ADDITIONS - HW - PROG LEASED,ERTP ERO DIGITAL,LOTHIAN VALUATION JOINT BOARD,3000048968,25800,Payment to fund new IT and hardware requirements as a result of the change to Individual Electoral Registration in June 2014,ERS EH88BG,Large,Programme
Cabinet Office,CABINET OFFICE,20/05/2014,CONSULTANCY SERVICES  'NOT' RECOVERABLE,CONSTITUTION GROUP,ENGINE PARTNERS UK LLP,3000049002,27048,Communications Support,W1W7RT,Large,Admin
Cabinet Office,Crown Commercial Service,20/05/2014,Whitehall heating systems management,Whitehall Standby Dist Systems,Cofely,PINVP2P 2812,40700.21,Whitehall heating systems management,HP12 3TA,Large,Programme 
Cabinet Office,CABINET OFFICE,20/05/2014,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CABINET OFFICE REPROGRAPHICS (EX GCDA),RICOH UK LTD,3000048988,41052.52,Reprographic Services,NN47YL,Large,Admin
Cabinet Office,CABINET OFFICE,20/05/2014,TELECOM RENTALS,PMO ICTS,BT,3000048980,41987.67,Line rental and call charges,NW96LB,Large,Admin
Cabinet Office,CABINET OFFICE,20/05/2014,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,AGE UK,3000048991,50000, 'Call in Time' volunteer programme grant,WC1H9NA,Large,Grants
Cabinet Office,Crown Commercial Service,20/05/2014,Whitehall heating systems management,Whitehall District Heating Systems,Cofely,PINVP2P 2810,65230.11,Whitehall heating systems management,HP12 3TA,Large,Programme 
Cabinet Office,Crown Commercial Service,20/05/2014,Whitehall heating systems management,Whitehall District Heating Systems,Cofely,PINVP2P 2811,95872.78,Whitehall heating systems management,HP12 3TA,Large,Programme 
Cabinet Office,CABINET OFFICE,20/05/2014,STAFF TRAINING,CO CONTRIBUTION - ISS PROJECTS,THE NATIONAL ARCHIVES 9014,3000048986,101675.16,"Information Assurance and Cyber Security Engagement Programme cost,  which includes training, newsletters and e-learning materials for all civil servants handling protected personal data ",TW94DU,Large,Programme
