Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Defence Science and Technology Laboratory,01/03/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000149861 - 00155928,,50000
Ministry of Defence,Defence Science and Technology Laboratory,01/03/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000149861 - 00156056,,50000
Ministry of Defence,Defence Science and Technology Laboratory,01/03/2013,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000149861 - 00156130,,50000
Ministry of Defence,Ministry of Defence,06/03/2013,International contributions,Head Office & Corporate Services,BRITISH EMBASSY - THE HAGUE,,174790,Defence military assistance fund international subscriptions and other payments,"50,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,08/03/2013,Sub Contracted Work,Operations,M-SQUARED LASERS LIMITED,,V - 9000150097 - 00156595,,50000
Ministry of Defence,Ministry of Defence,14/03/2013,International contributions,Head Office & Corporate Services,THE BRITISH COUNCIL,,181205,Defence military assistance fund international subscriptions and other payments,"50,000.00"
Ministry of Defence,Ministry of Defence,14/03/2013,"Adminstration, claims, compensation and awards",Head Office & Corporate Services,NORTH YORKSHIRE COUNTY COUNCIL,DL7 8AL,181053,Cost of claims/compensation and related expenses against MOD,"50,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,15/03/2013,Sub Contracted Research,Programme Office,QINETIQ LIMITED,,V - 9000150353 - 00156660,,50000
Ministry of Defence,Ministry of Defence,22/03/2013,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE DETMOLD GMBH,,5000093863,Utilities consumed - water + sewage,"50,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,22/03/2013,Contracted out Office Services,Operations,HEALTH PROTECTION AGENCY,,V - 9000150501 - 00152375,,50000
Ministry of Defence,Defence Science and Technology Laboratory,22/03/2013,Sub Contracted Work,Programme Office,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,,V - 9000150492 - 00156920,,50000
Ministry of Defence,Defence Science and Technology Laboratory,22/03/2013,Sub Contracted Research,Programme Office,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,,V - 9000150492 - 00156922,,50000
Ministry of Defence,Ministry of Defence,27/03/2013,Rent and rates,Defence Infrastructure Organisation ,DEPARTMENT FOR TRANSPORT,GU11 2HH,187104,Rent land - non civil estate property + married quarter property,"50,000.00"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,25/03/2013,Assets in the Course of Construction,Capital Expenditure,BROOKVALE HOMES,,10664,Assets in the Course of Construction,"49,910.40"
Ministry of Defence,Ministry of Defence,06/03/2013,Spend on Inventory - General,Defence Equipment & Support,UNITED TOOL DISTRIBUTORS LTD,M32 0NB,177055,Spend on Inventory - General,"49,864.13"
Ministry of Defence,Ministry of Defence,27/03/2013,Design services and minor equipment purchases,Defence Equipment & Support,BAE SYSTEMS (OPERATIONS) LIMITED,KA9 2RW,186992,Equipment support non-project costs,"49,855.44"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,25/03/2013,Condition Grade Improvement,Estates Management,CAMBRIDGE FLAT ROOFING CO LTD,,8129,Works - civil estate,"49,638.00"
Ministry of Defence,Ministry of Defence,22/03/2013,Externally delivered education and training,Land Forces,THE ROYAL ENGINEERS VOCATIONAL EDUCATION AND TRAINING TRUST,ME4 4UG,185137,External military training ,"49,634.85"
Ministry of Defence,Ministry of Defence,15/03/2013,Design services and minor equipment purchases,Defence Equipment & Support,HEMPEL UK LTD.,NP44 3XF,181627,Equipment support project costs,"49,633.55"
Ministry of Defence,Ministry of Defence,26/03/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,186535,Equipment support project costs,"49,578.47"
Ministry of Defence,Ministry of Defence,13/03/2013,Payment of utilities,Defence Infrastructure Organisation ,STADTWERKE BIELEFELD GMBH,,5000093453,Utilities consumed - heating oil,"49,453.96"
Ministry of Defence,Defence Science and Technology Laboratory,28/03/2013,Sub Contracted Work,Programme Office,SYSTEMS ENGINEERING & ASSESSMENT LIMITED,,V - 9000150710 - 00154777,,49394
Ministry of Defence,United Kingom Hydrographic Office,07/03/2013,Electricity,Facilities Management,EDF ENERGY,,2000063274,Electricity,"49,259.31"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,21/03/2013,Condition Grade Improvement,Estates Management,M J QUINN INTEGRATED SERVICES,,12514,Works - civil estate,"49,212.00"
Ministry of Defence,Ministry of Defence,14/03/2013,Payment of utilities,Defence Infrastructure Organisation ,MABANAFT DEUTSCHLAND GMBH,,5000093480,Utilities consumed - heating oil,"49,118.04"
Ministry of Defence,Ministry of Defence,28/03/2013,Estates-Equipment/Works,Defence Infrastructure Organisation - Security Services Group,GEOQUIP LTD,DE21 5DR,AP121213011, Works - estate management ,"49,108.41"
Ministry of Defence,Ministry of Defence,05/03/2013,Spend on Inventory - General,Defence Equipment & Support,DS SMITH CORRUGATED PACKAGING LIMITED,LE10 3BX,175979,Spend on Inventory - General,"48,927.77"
Ministry of Defence,Ministry of Defence,11/03/2013,Fees for professional services,Defence Infrastructure Organisation ,GVA GRIMLEY LIMITED,B1 2JB,178817,Fees for professional services excluding legal fees,"48,905.00"
Ministry of Defence,Ministry of Defence,15/03/2013,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,181344,Property dwellings private finance initiative - service concession arrangement service charge,"48,799.41"
Ministry of Defence,Ministry of Defence,26/03/2013,Estate management,Defence Infrastructure Organisation ,QINETIQ LIMITED,GU14 0LX,186810,Works - estate management,"48,738.26"
Ministry of Defence,Defence Science and Technology Laboratory,28/03/2013,Sub Contracted Work,Operations,QINETIQ LIMITED,,V - 9000150793 - 00155422,,48738
Ministry of Defence,Ministry of Defence,14/03/2013,IT and communication services,Defence Equipment & Support,VIDECOM INTERNATIONAL LTD,RG9 1HG,181258,Computer equipment costing below the capitalisation threshold,"48,720.00"
Ministry of Defence,Ministry of Defence,07/03/2013,Spend on Inventory - General,Defence Equipment & Support,SELEX ES LTD,SS14 3EL,177642,Spend on Inventory - General,"48,680.40"
