Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total,
Ministry of Defence,Ministry of Defence,27/04/2015,Purchase of buildings - Dwellings,DEFENCE INFRASTRUCTURE ORGANISATION,DAVITT JONES BOULD LTD,TA1 4EB,461315,Property building dwellings asset - in year capital addition,"£3,543,061.00"
Ministry of Defence,Ministry of Defence,29/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,462212,Estate core services charge,"£3,511,561.46"
Ministry of Defence,Ministry of Defence,16/04/2015,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,457726,Grant in aid to the council of reserve forces and cadet associations,"£3,506,116.00"
Ministry of Defence,Ministry of Defence,30/04/2015,"Adminstration, claims, compensation and awards",HO+CS,OUR WILTON TRUST,SE1 9BB,463097,Cost of claims/compensation and related expenses against MOD,"£3,500,000.00"
Ministry of Defence,Ministry of Defence,07/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,453596,Works services - excluding United States forces/NATO + married quarters,"£3,400,826.55"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WEST OXFORDSHIRE DISTRICT COUNCIL,OX28 6JH,455397,Rent buildings - non civil estate property and married quarter property,"£3,386,910.00"
Ministry of Defence,Ministry of Defence,10/04/2015,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 6BS,455466,External military training ,"£3,378,990.01"
Ministry of Defence,Ministry of Defence,10/04/2015,Purchase of buildings - Dwellings,DEFENCE INFRASTRUCTURE ORGANISATION,DAVITT JONES BOULD LTD,TA1 4EB,455577,Property building dwellings asset - in year capital addition,"£3,176,936.90"
Ministry of Defence,Ministry of Defence,07/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,453513,Estate core services charge,"£3,171,001.57"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,CORNWALL COUNCIL,PL27 6TW,454954,Rent buildings - non civil estate property and married quarter property,"£3,084,585.95"
Ministry of Defence,Ministry of Defence,27/04/2015,Development costs for military equipment,Defence Equipment + Support,NETMA,PL27 6TW,5000126755,Intangible single use military equipment asset  - in year capital addition,"£2,998,643.51"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,VALE OF WHITE HORSE DISTRICT COUNCIL,OX10 8ED,455383,Rent buildings - non civil estate property and married quarter property,"£2,987,580.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,NORTH KESTEVEN DISTRICT COUNCIL,NG34 7EF,455202,Rent buildings - non civil estate property and married quarter property,"£2,986,058.00"
Ministry of Defence,Ministry of Defence,07/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV1 4HY,453512,Fiscal asset under construction - capital in year addition,"£2,980,176.22"
Ministry of Defence,Ministry of Defence,28/04/2015,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,461930,Grant in aid to the council of reserve forces and cadet associations,"£2,972,126.00"
Ministry of Defence,Ministry of Defence,07/04/2015,Rental of plant and machinery,Defence Equipment + Support,ALC (SPC) LIMITED,OX25 2LD,453439,Plant + machinery private finance initiative - service concession arrangements service charge,"£2,941,515.52"
Ministry of Defence,Ministry of Defence,07/04/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,453533,Fees for professional services excluding legal fees,"£2,940,639.23"
Ministry of Defence,Ministry of Defence,08/04/2015,Externally delivered education and training,Navy Command,BABCOCK FLAGSHIP LIMITED,BS23 6BS,454323,External military training ,"£2,854,081.68"
