Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total,
Ministry of Defence,Ministry of Defence,24/04/2015,Spend on Inventory - General,Defence Equipment + Support,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,NP15 1XL,460788,Spend on Inventory - General,"£143,111.54"
Ministry of Defence,Ministry of Defence,22/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,460141,Estate + facilities management services - accommodation inventory + service,"£142,827.90"
Ministry of Defence,Ministry of Defence,23/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WEST OXFORDSHIRE DISTRICT COUNCIL,OX28 6JH,460730,Rent buildings - non civil estate property and married quarter property,"£141,600.30"
Ministry of Defence,Ministry of Defence,22/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK LTD,LS16 6QY,459738,Estate + facilities management services - accommodation inventory + service,"£141,265.17"
Ministry of Defence,Ministry of Defence,17/04/2015,IT and communication services,HO+CS,IBM UNITED KINGDOM LIMITED,PO6 3AE,458375,Information technology services,"£141,134.20"
Ministry of Defence,Ministry of Defence,08/04/2015,Medical treatment & stores and welfare services,Land Forces,CORE ASSETS GROUP LIMITED,B60 4AD,454406,Welfare services including sports equipment and ministers of religion.,"£140,666.58"
Ministry of Defence,Ministry of Defence,17/04/2015,Design services and minor equipment purchases,JFC,WRIGHT HEALTH GROUP LTD,DD2 3QD,458693,Equipment support non-project costs,"£139,975.04"
Ministry of Defence,Ministry of Defence,30/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,OVIK SOLUTIONS LIMITED,DT5 8BF,463098,Post design services which are not capitalised,"£139,752.00"
Ministry of Defence,Ministry of Defence,21/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,THE MORAY COUNCIL,IV30 1BX,459659,Rent buildings - non civil estate property and married quarter property,"£139,612.99"
Ministry of Defence,Ministry of Defence,27/04/2015,Spend on Inventory - General,Defence Equipment + Support,DENCHI POWER LIMITED,KW14 7XY,461323,Spend on Inventory - General,"£138,618.10"
Ministry of Defence,Ministry of Defence,14/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,ASPIRE DEFENCE LIMITED,SP9 7QD,456595,Equipment support non-project costs,"£137,135.67"
Ministry of Defence,Ministry of Defence,21/04/2015,"Transportation of personnel, freight and travel expenses",Land Forces,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,459601,Military short term detached duty,"£136,920.50"
Ministry of Defence,Ministry of Defence,24/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,PRIDE (SERP) LTD,GU11 2ER,461025,Fiscal asset under construction - capital in year addition,"£136,294.80"
Ministry of Defence,Ministry of Defence,09/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,CMC ELECTRONICS INC,H4M 2S9,2000024525,Fiscal asset under construction - capital in year addition,"£136,248.32"
Ministry of Defence,Ministry of Defence,24/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,TYNE SLIPWAY & ENGINEERING CO LIMITED,NE33 5PL,461121,Fiscal asset under construction - capital in year addition,"£135,690.19"
Ministry of Defence,Ministry of Defence,28/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,461884,Equipment support project costs,"£135,668.15"
Ministry of Defence,Ministry of Defence,27/04/2015,Fuel for military use,Defence Equipment + Support,BOC LIMITED,M28 2UT,461227,Cost of industrial gas fuel consumed,"£135,307.77"
Ministry of Defence,Ministry of Defence,15/04/2015,Research and development,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,457191,Research and development incurred on projects with defence science and technology laboratory,"£134,185.74"
Ministry of Defence,Ministry of Defence,28/04/2015,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,461930,Capital grant in aid for the purchase of non-current assets for the Council of Reserve Forces and Cadet association,"£134,163.00"
Ministry of Defence,Ministry of Defence,13/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,E.ON ENERGIE DEUTSCHLAND GMBH,EC2A 4EY,5000126207,Utilities consumed - electricity,"£133,777.93"
Ministry of Defence,Ministry of Defence,09/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BALFOUR BEATTY GROUP LIMITED,SW1V 1LQ,454857,Works - estate management,"£132,743.23"
Ministry of Defence,Ministry of Defence,07/04/2015,Spend on Inventory - General,Defence Equipment + Support,YAKUPOGLU A.S.,BD19 3QF,453767,Spend on Inventory - General,"£132,536.64"
Ministry of Defence,Ministry of Defence,22/04/2015,Spend on Inventory - General,Defence Equipment + Support,DENCHI POWER LIMITED,KW14 7XY,459881,Spend on Inventory - General,"£132,204.96"
Ministry of Defence,Ministry of Defence,07/04/2015,Fees for professional services,HO+CS,PRICEWATERHOUSECOOPERS LLP,E14 9SQ,453664,Fees for professional services excluding legal fees,"£132,062.84"
Ministry of Defence,Ministry of Defence,24/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,PLYMOUTH CITY COUNCIL,PL1 2AA,461011,Rent buildings - non civil estate property and married quarter property,"£132,047.92"
Ministry of Defence,Ministry of Defence,30/04/2015,"Purchase of munitions, other inventory or fuel",DES Bespoke Trading Entity,COONEEN DEFENCE LIMITED,BT75 0NE,44458,Raw materials and consumable clothing and textiles inventory purchased,"£131,902.46"
Ministry of Defence,Ministry of Defence,31/03/2015,Team Expenditure,HOCS,Hafif Travel and Tourism Co Ltd,,CO008,Team Expenditure,"£131,720.11"
Ministry of Defence,Ministry of Defence,24/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,460857,Equipment support project costs,"£131,503.19"
Ministry of Defence,Ministry of Defence,16/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,F B HELISERVICES LTD,RG24 8AG,457779,Equipment support non-project costs,"£130,980.00"
Ministry of Defence,Ministry of Defence,17/04/2015,Spend on Inventory - General,Defence Equipment + Support,DENCHI POWER LIMITED,KW14 7XY,458290,Spend on Inventory - General,"£130,870.94"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,MONMOUTHSHIRE COUNTY COUNCIL,NP44 2XH,455131,Rent buildings - non civil estate property and married quarter property,"£130,115.90"
Ministry of Defence,Ministry of Defence,09/04/2015,Development costs for military equipment,Defence Equipment + Support,SYSTEMS CONSULTANTS SERVICES  LIMITED,RG7 4SA,455333,Intangible single use military equipment asset  - in year capital addition,"£130,063.65"
Ministry of Defence,Ministry of Defence,17/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,458402,Estate core services charge,"£129,896.55"
Ministry of Defence,Ministry of Defence,16/04/2015,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,457604,Movement of service personnel,"£128,372.84"
Ministry of Defence,Ministry of Defence,30/04/2015,Medical treatment & stores and welfare services,Land Forces,ARGYLL & BUTE COUNCIL,PA31 8RT,462737,Schools + community relations initiatives,"£128,000.00"
Ministry of Defence,Ministry of Defence,20/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,MEDWAY COUNCIL,ME4 4TR,459018,Rent buildings - non civil estate property and married quarter property,"£127,832.20"
Ministry of Defence,Council of Reserve Forces and Cadets Association,17/04/2015,Rents/Leases/Alarms/Lettings,Infrastructure,Rylston Road Ltd,W14 8JZ,197,Rents/Leases/Alarms/Lettings,"£126,999.60"
Ministry of Defence,Ministry of Defence,21/04/2015,Fuel for military use,Air Command,ASSOCIATED ENERGY GROUP LLC,ME4 4TR,2000024601,Aviation fuel casual uplift consumed,"£126,498.06"
Ministry of Defence,Ministry of Defence,27/04/2015,"Transportation of personnel, freight and travel expenses",DES Bespoke Trading Entity,ROYAL MAIL GROUP LIMITED,S49 1HQ,461682,Freight movement costs,"£126,087.93"
Ministry of Defence,Ministry of Defence,07/04/2015,IT and communication services,DES Bespoke Trading Entity,SOFTWARE BOX LIMITED,YO61 1ET,453711,Computer equipment costing below the capitalisation threshold,"£125,936.55"
Ministry of Defence,Ministry of Defence,08/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,454506,Fiscal asset under construction - capital in year addition,"£125,742.88"
Ministry of Defence,Ministry of Defence,15/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,GE AVIATION SYSTEMS LIMITED,GL52 8SF,457255,Equipment support non-project costs,"£125,657.79"
Ministry of Defence,Ministry of Defence,16/04/2015,IT and communication services,DES Bespoke Trading Entity,SOFTWARE BOX LIMITED,YO61 1ET,458070,Computer equipment costing below the capitalisation threshold,"£125,526.37"
Ministry of Defence,Ministry of Defence,10/04/2015,IT and communication services,JFC,METROPOLE HOTELS (HOLDINGS)  LIMITED,W2 1JU,455760,Information technology services,"£125,232.00"
Ministry of Defence,Ministry of Defence,30/04/2015,Fuel for military use,Land Forces,WILHELM HOYER KG,W2 1JU,5000126899,Oil and lubricants consumed excluding those from the inventory system,"£125,166.76"
Ministry of Defence,Ministry of Defence,28/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK LTD,LS16 6QY,461867,Estate + facilities management services - accommodation inventory + service,"£124,427.27"
Ministry of Defence,Ministry of Defence,30/04/2015,Medical treatment & stores and welfare services,Land Forces,LLANTWIT MAJOR SCHOOL,CF61 1TQ,462992,Schools + community relations initiatives,"£122,784.00"
Ministry of Defence,Ministry of Defence,29/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,FLOGAS BRITAIN LIMITED,LE7 1PF,462356,Utilities consumed - liquid petroleum gas,"£122,114.60"
Ministry of Defence,Ministry of Defence,17/04/2015,Spend on Inventory - General,Defence Equipment + Support,TVS SUPPLY CHAIN SOLUTIONS LIMITED,PR6 7AJ,458663,Spend on Inventory - General,"£121,220.98"
Ministry of Defence,Ministry of Defence,14/04/2015,IT and communication services,HO+CS,FOREIGN & COMMONWEALTH OFFICE SERVICES,MK19 7BH,456721,Computer equipment costing below the capitalisation threshold,"£121,194.00"
Ministry of Defence,Ministry of Defence,10/04/2015,Administration,Navy Command,CAPITA BUSINESS SERVICES LTD,DL1 9HN,455526,General administration,"£120,772.17"
Ministry of Defence,Ministry of Defence,07/04/2015,IT and communication services,JFC,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,453518,Computer equipment costing below the capitalisation threshold,"£120,633.86"
Ministry of Defence,Ministry of Defence,24/04/2015,Spend on Inventory - General,Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,460857,Spend on Inventory - General,"£120,329.90"
Ministry of Defence,Ministry of Defence,22/04/2015,Externally delivered education and training,HO+CS,CAPITA BUSINESS SERVICES LTD,DL1 9HN,459824,External training - civilian,"£119,512.00"
Ministry of Defence,Ministry of Defence,10/04/2015,Spend on Inventory - General,Defence Equipment + Support,HI-TEC SPORTS UK LIMITED,SS2 6GH,455688,Spend on Inventory - General,"£119,194.32"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,MELTON BOROUGH COUNCIL,LE13 0UL,455119,Rent buildings - non civil estate property and married quarter property,"£118,183.00"
Ministry of Defence,Ministry of Defence,20/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK LTD,LS16 6QY,458729,Estate + facilities management services - accommodation inventory + service,"£117,615.58"
Ministry of Defence,Ministry of Defence,23/04/2015,Purchase of buildings and military equipment ,Air Command,SKYLAUNCH LIMITED,SY4 5SD,460634,Fiscal asset under construction - capital in year addition,"£117,356.40"
Ministry of Defence,Ministry of Defence,30/04/2015,"Transportation of personnel, freight and travel expenses",DES Bespoke Trading Entity,DHL GLOBAL FORWARDING (UK)  LIMITED,KT16 8SH,462866,Freight movement costs,"£117,008.52"
Ministry of Defence,Ministry of Defence,07/04/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,453709,Cost of food services,"£116,345.44"
Ministry of Defence,Ministry of Defence,30/04/2015,"Transportation of personnel, freight and travel expenses",Air Command,AGILITY LOGISTICS LIMITED,RG1 2LG,462710,Movement of service personnel,"£116,292.69"
Ministry of Defence,Ministry of Defence,24/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,NORTH KESTEVEN DISTRICT COUNCIL,NG34 7EF,460989,Rent buildings - non civil estate property and married quarter property,"£115,828.44"
Ministry of Defence,Ministry of Defence,29/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,462663,Fiscal asset under construction - capital in year addition,"£115,643.03"
Ministry of Defence,Ministry of Defence,17/04/2015,"Purchase of major spares armaments, medical & general stores",Defence Equipment + Support,SOUTHERN SCIENTIFIC LIMITED,BN5 9SL,458606,Capital spares engineering and technical inventory fiscal capital in year addition,"£115,449.52"
Ministry of Defence,Ministry of Defence,20/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,HOLYHEAD MARINE SERVICES LIMITED,LL65 1YB,458947,Equipment support project costs,"£115,356.86"
Ministry of Defence,Ministry of Defence,14/04/2015,Purchase of inventory and services ,Air Command,RICOH UK.LIMITED,NN4 7YL,456948,Cost of other material consumed,"£115,175.28"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,EXETER CITY COUNCIL,EX1 1JW,455009,Rent buildings - non civil estate property and married quarter property,"£114,992.25"
Ministry of Defence,Ministry of Defence,08/04/2015,"Purchase of munitions, other inventory or fuel",DES Bespoke Trading Entity,COONEEN DEFENCE LIMITED,BT75 0NE,44289,Raw materials and consumable clothing and textiles inventory purchased,"£114,903.72"
Ministry of Defence,Ministry of Defence,17/04/2015,Design services and minor equipment purchases,Land Forces,LUTRA ASSOCIATES LIMITED,DT10 2LR,458419,Equipment support non-project costs,"£114,700.80"
Ministry of Defence,Ministry of Defence,13/04/2015,Spend on Inventory - General,Defence Equipment + Support,TVS SUPPLY CHAIN SOLUTIONS LIMITED,PR6 7AJ,456528,Spend on Inventory - General,"£114,502.08"
Ministry of Defence,Ministry of Defence,13/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,ABERDEENSHIRE COUNCIL,AB43 9LP,456089,Rent buildings - non civil estate property and married quarter property,"£114,472.00"
Ministry of Defence,Ministry of Defence,22/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,COLCHESTER BOROUGH COUNCIL,CO1 1QY,459856,Rent buildings - non civil estate property and married quarter property,"£113,756.73"
Ministry of Defence,Ministry of Defence,16/04/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,457715,Cost of food purchases,"£113,536.26"
Ministry of Defence,Ministry of Defence,21/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,GOSPORT BOROUGH COUNCIL,PO12 1EB,459417,Rent buildings - non civil estate property and married quarter property,"£113,087.28"
Ministry of Defence,Ministry of Defence,15/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,457549,Works - estate management,"£112,959.02"
Ministry of Defence,Ministry of Defence,09/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,SELEX ES LTD,SS14 3EL,455286,Post design services which are not capitalised,"£112,612.26"
Ministry of Defence,Ministry of Defence,10/04/2015,Spend on Inventory - General,DEFENCE INFRASTRUCTURE ORGANISATION,FORBO FLOORING UK LIMITED.,KY1 2SB,455651,Spend on Inventory - General,"£112,380.87"
Ministry of Defence,Ministry of Defence,23/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WYCOMBE DISTRICT COUNCIL,HP11 1BB,460747,Rent buildings - non civil estate property and married quarter property,"£111,953.56"
Ministry of Defence,Ministry of Defence,28/04/2015,Purchase of buildings and military equipment ,Air Command,SKYLAUNCH LIMITED,SY4 5SD,462102,Fiscal asset under construction - capital in year addition,"£111,356.40"
Ministry of Defence,Ministry of Defence,17/04/2015,"Public relations, including marketing and advertising",Navy Command,M-INTEGRATED SOLUTIONS PLC,TW7 6DA,458423,Public relations services including items such as sales marketing and advertising,"£111,303.00"
Ministry of Defence,Ministry of Defence,28/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,STADTWERKE BIELEFELD GMBH,TW7 6DA,5000126792,Utilities consumed - gas,"£111,038.78"
Ministry of Defence,Ministry of Defence,30/04/2015,Medical treatment & stores and welfare services,Land Forces,DURRINGTON ALL SAINTS C OF E VC INFANTS' SCHOOL,SP4 8HH,462879,Schools + community relations initiatives,"£110,880.00"
Ministry of Defence,Ministry of Defence,22/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,459977,Works services - excluding United States forces/NATO + married quarters,"£110,792.36"
Ministry of Defence,Ministry of Defence,13/04/2015,IT and communication services,JFC,AIRBUS DS LIMITED,NP10 8FZ,456092,Information technology services,"£110,050.00"
Ministry of Defence,Ministry of Defence,07/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,ISS MEDICLEAN LIMITED,GU21 5RW,453599,Estate + facilities management services - accommodation inventory + service,"£109,954.52"
Ministry of Defence,Ministry of Defence,07/04/2015,IT and communication services,Air Command,SOFTWARE BOX LIMITED,YO61 1ET,453711,Computer equipment costing below the capitalisation threshold,"£109,725.07"
Ministry of Defence,Ministry of Defence,30/04/2015,Externally delivered education and training,DES Bespoke Trading Entity,BRIDGWATER COLLEGE,TA6 4PZ,462779,External training - civilian,"£109,626.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,MEDWAY COUNCIL,ME4 4TR,455117,Rent buildings - non civil estate property and married quarter property,"£108,872.80"
Ministry of Defence,Ministry of Defence,07/04/2015,Design services and minor equipment purchases,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,453518,Equipment support project costs,"£108,377.99"
Ministry of Defence,Ministry of Defence,30/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,462716,Equipment support project costs,"£108,265.20"
Ministry of Defence,Ministry of Defence,29/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000126821,Works - estate management,"£108,168.82"
Ministry of Defence,Ministry of Defence,23/04/2015,Fees for professional services,HO+CS,KPMG LLP,WD17 1DE,460482,"The provision of advice and assistance relating to corporate financing structures, accountancy, control mechanisms and systems","£107,838.00"
Ministry of Defence,Ministry of Defence,07/04/2015,Spend on Inventory - General,Defence Equipment + Support,VARIVANE INDUSTRIES LIMITED,SN10 3EW,453753,Spend on Inventory - General,"£107,092.95"
Ministry of Defence,Ministry of Defence,21/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,LONDON BOROUGH OF HILLINGDON,UB8 1UW,459471,Rent buildings - non civil estate property and married quarter property,"£105,938.98"
Ministry of Defence,Ministry of Defence,29/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,RHEINMETALL LANDSYSTEME GMBH,D-29345,3000012313,Equipment support non-project costs,"£105,900.00"
Ministry of Defence,Ministry of Defence,14/04/2015,Spend on Inventory - General,Defence Equipment + Support,MACTAGGART  SCOTT & COMPANY LTD,EH20 9SP,456791,Spend on Inventory - General,"£105,682.14"
Ministry of Defence,Ministry of Defence,20/04/2015,Service and civilian recruitment,HO+CS,H M REVENUE & CUSTOMS,BN12 4XH,458932,Civilian recruitment excluding recruitment related external assistance,"£105,600.00"
Ministry of Defence,Ministry of Defence,21/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,SPRAYBAKE LTD,CO10 2XG,459637,Equipment support non-project costs,"£105,359.13"
Ministry of Defence,Ministry of Defence,24/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,460792,Fiscal asset under construction - capital in year addition,"£105,211.39"
Ministry of Defence,Ministry of Defence,28/04/2015,Medical treatment & stores and welfare services,JFC,FALKLAND ISLANDS GOVERNMENT,PO1 9NW,3000012302,Medical health services,"£105,175.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,HYDRAULICS INTERNATIONAL INC,PO1 9NW,3000012207,Equipment support non-project costs,"£105,000.00"
Ministry of Defence,Ministry of Defence,22/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,JAMES FISHER MARINE   SERVICES LIMITED,LA14 1HR,459985,Equipment support project costs,"£104,639.62"
Ministry of Defence,Ministry of Defence,13/04/2015,Spend on Inventory - General,Defence Equipment + Support,MICHELIN TYRE PLC,ST4 4EY,456345,Spend on Inventory - General,"£104,392.99"
Ministry of Defence,Ministry of Defence,07/04/2015,"Transportation of personnel, freight and travel expenses",Air Command,AGILITY LOGISTICS LIMITED,RG1 2LG,453434,Movement of service personnel,"£104,162.17"
Ministry of Defence,Council of Reserve Forces and Cadets Association,02/04/2015,Rates/NDR,Infrastructure,London Borough of Islington,N1 1XR,17,Rates/NDR,"£103,626.00"
Ministry of Defence,Ministry of Defence,30/04/2015,Grants to Reserves Forces and Cadets Association,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,462848,Grants to reserve forces and cadet associations,"£103,599.95"
Ministry of Defence,Council of Reserve Forces and Cadets Association,09/04/2015,Assets in the Course of Construction,Capital Expenditure,Day & Robinson Builders Ltd,HU6 7DZ,1348,Assets in the Course of Construction,"£103,416.00"
Ministry of Defence,Ministry of Defence,28/04/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,462155,Fees for professional services excluding legal fees,"£103,011.60"
Ministry of Defence,Ministry of Defence,23/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,SOUTH OXFORDSHIRE DISTRICT COUNCIL,OX10 8AU,460646,Rent buildings - non civil estate property and married quarter property,"£102,618.40"
Ministry of Defence,Ministry of Defence,07/04/2015,IT and communication services,JFC,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,453472,Information technology services,"£102,600.00"
Ministry of Defence,Ministry of Defence,24/04/2015,"Adminstration, claims, compensation and awards",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Cost of claims/compensation and related expenses against MOD,"£102,589.38"
Ministry of Defence,Royal Hospital Chelsea,17/04/2015,Purchased Services,Royal Hospital Chelsea,Norland Managed Services,E14 5HP,PIN122484,Building Maintenanace,"£102,583.64"
Ministry of Defence,Ministry of Defence,07/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,PETARDS JOYCE-LOEBL LIMITED,NE11 0TU,453658,Fiscal asset under construction - capital in year addition,"£102,403.14"
Ministry of Defence,Ministry of Defence,08/04/2015,Fuel for military use,Air Command,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 5BH,2000024517,Aviation fuel casual uplift consumed,"£102,288.85"
Ministry of Defence,Ministry of Defence,28/04/2015,Design services and minor equipment purchases,DES Bespoke Trading Entity,INZPIRE LIMITED,LN6 3TA,461991,Equipment support non-project costs,"£102,283.31"
Ministry of Defence,Ministry of Defence,13/04/2015,Inventory Accruals,Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,456218,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£102,272.24"
Ministry of Defence,Ministry of Defence,15/04/2015,Spend on Inventory - General,Defence Equipment + Support,HONEYWELL AEROSPACE UK,BA20 2YD,457282,Spend on Inventory - General,"£102,005.40"
Ministry of Defence,Ministry of Defence,16/04/2015,Design services and minor equipment purchases,DES Bespoke Trading Entity,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,10378,Equipment support non-project costs,"£101,112.13"
Ministry of Defence,Ministry of Defence,14/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,CATERPILLAR SHREWSBURY LIMITED,SY1 3NX,456644,Equipment support non-project costs,"£101,023.95"
Ministry of Defence,Ministry of Defence,10/04/2015,Spend on Inventory - General,Defence Equipment + Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,455469,Spend on Inventory - General,"£100,626.31"
Ministry of Defence,Council of Reserve Forces and Cadets Association,02/04/2015,Rates/NDR,Infrastructure,London Borough of Tower Hamlets,E2 0XA,106,Rates/NDR,"£100,548.00"
Ministry of Defence,Ministry of Defence,10/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,455999,Estate + facilities management services - accommodation inventory + service,"£100,503.87"
Ministry of Defence,Ministry of Defence,23/04/2015,IT and communication services,JFC,FUJITSU SERVICES LIMITED,TW18 3BF,460424,Information technology services,"£100,214.51"
Ministry of Defence,Ministry of Defence,27/04/2015,Fuel for military use,Air Command,CERTAS ENERGY UK LIMITED,WA3 6XG,461277,Cost of ground diesel fuel consumed,"£100,028.64"
Ministry of Defence,Ministry of Defence,24/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,SHROPSHIRE COUNCIL,SY2 6ND,461070,Rent buildings - non civil estate property and married quarter property,"£99,617.31"
Ministry of Defence,Ministry of Defence,21/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,HAMBLETON DISTRICT COUNCIL,DL6 2UU,459423,Rent buildings - non civil estate property and married quarter property,"£99,445.48"
Ministry of Defence,Ministry of Defence,30/04/2015,IT and communication services,JFC,SOPRA STERIA LIMITED,HP2 7AH,463194,Information technology services,"£99,042.00"
Ministry of Defence,Ministry of Defence,23/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,TEST VALLEY BOROUGH COUNCIL,SP10 3AJ,460677,Rent buildings - non civil estate property and married quarter property,"£98,911.74"
Ministry of Defence,Ministry of Defence,10/04/2015,Spend on Inventory - General,Defence Equipment + Support,3M UNITED KINGDOM PUBLIC LIMITED COMPANY,RG12 8HT,455427,Spend on Inventory - General,"£98,880.00"
Ministry of Defence,Ministry of Defence,07/04/2015,Spend on Inventory - General,Defence Equipment + Support,AVIATION JERSEY LTD,JE2 6SB,453452,Spend on Inventory - General,"£98,115.55"
Ministry of Defence,Ministry of Defence,10/04/2015,Design services and minor equipment purchases,HO+CS,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,455472,Equipment support non-project costs,"£98,000.00"
Ministry of Defence,Ministry of Defence,13/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MOTT MACDONALD LTD,CR9 2UL,456351,Fiscal asset under construction - capital in year addition,"£97,803.40"
Ministry of Defence,Ministry of Defence,10/04/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,455566,Cost of food services,"£97,695.81"
Ministry of Defence,Ministry of Defence,16/04/2015,Purchase of information and communications technology,JFC,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,457824,IT + communications asset - in year capital addition,"£97,621.43"
