Spend over £25000 - Publication template,,,,,,,

Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for Leadership of Schools and Children's Services,13/08/2010,"Communications, telephone running costs",Corporate Services,OGC Buying Solutions,102551,-2207.45
Department for Education,National College for Leadership of Schools and Children's Services,13/08/2010,Irrecoverable Input VAT,Corporate Services,OGC Buying Solutions,102551,-386.3
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,ICT Running Costs,Corporate Services,OGC Buying Solutions,102523,40450.1
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Irrecoverable Input VAT,Corporate Services,OGC Buying Solutions,102523,7078.76
Department for Education,National College for Leadership of Schools and Children's Services,03/08/2010,Programme Costs,School Leadership Dev,Ravens Wood School,102099,65000
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Grants Made,"Policy, Research & Development",Rotherham Metropolitan Borough Council,Succession Planning RGTF Grant,17000
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Grants Made,"Policy, Research & Development",Rotherham Metropolitan Borough Council,Succession Planning RGTF Grant,11000
Department for Education,National College for Leadership of Schools and Children's Services,09/08/2010,"Conference, Events, Exhibitions and Seminars",Continuous Leadership Learning,RS Live,102323,23356.69
Department for Education,National College for Leadership of Schools and Children's Services,09/08/2010,Irrecoverable Input VAT,Continuous Leadership Learning,RS Live,102323,4087.42
Department for Education,National College for Leadership of Schools and Children's Services,02/08/2010,"Conference, Events, Exhibitions and Seminars",Continuous Leadership Learning,RS Live,102020,30760.49
Department for Education,National College for Leadership of Schools and Children's Services,02/08/2010,Irrecoverable Input VAT,Continuous Leadership Learning,RS Live,102020,5383.09
Department for Education,National College for Leadership of Schools and Children's Services,18/08/2010,"Conference, Events, Exhibitions and Seminars",School Leadership Dev,RS Live,102656,31070.92
Department for Education,National College for Leadership of Schools and Children's Services,18/08/2010,Irrecoverable Input VAT,School Leadership Dev,RS Live,102656,5437.41
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Grants Made,"Policy, Research & Development",School Development Support Age,Succession Planning RGTF Grant,52350
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Grants Made,"Policy, Research & Development",School Development Support Age,Succession Planning RGTF Grant,33285
Department for Education,National College for Leadership of Schools and Children's Services,11/08/2010,Programme Costs,Continuous Leadership Learning,SELT,102486,-2408.75
Department for Education,National College for Leadership of Schools and Children's Services,03/08/2010,Programme Costs,Continuous Leadership Learning,SELT,102123,52000
Department for Education,National College for Leadership of Schools and Children's Services,18/08/2010,Programme Costs,Continuous Leadership Learning,SELT,102663,90400
Department for Education,National College for Leadership of Schools and Children's Services,25/08/2010,Programme Costs,Continuous Leadership Learning,SELT,102788,149100
Department for Education,National College for Leadership of Schools and Children's Services,17/08/2010,Irrecoverable Input VAT,School Leadership Dev,Serco Learning Solutions,102646,-39.93
Department for Education,National College for Leadership of Schools and Children's Services,17/08/2010,Programme Costs,School Leadership Dev,Serco Learning Solutions,102646,-266.21
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Irrecoverable Input VAT,Children's Services,Serco Learning Solutions,103098,31044.29
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Programme Costs,Children's Services,Serco Learning Solutions,103098,177395.95
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Operational Associates,Children's Services,THE CHANCELLOR masters and scholars of the univers,102502,48569
Department for Education,National College for Leadership of Schools and Children's Services,12/08/2010,Grants Made,"Policy, Research & Development",Trafford,Succession Planning RGTF Grant,17000
Department for Education,National College for Leadership of Schools and Children's Services,31/08/2010,Grants Made,"Policy, Research & Development",Trafford,Succession Planning RGTF Grant,35000
Department for Education,National College for Leadership of Schools and Children's Services,05/08/2010,Contract/Temporary Staff Costs,Continuous Leadership Learning,University of Derby,102086,37958.6
