Department family(T);Entity(T);Pay date;Expense type(T);Expense area(T);Supplier(T);TransNo;Amount;VAT Registration Number
DEFRA;Cefas;03/08/2010;Training - Corporate;Corporate;Oxford Strategic Marketing;20005759;24800.00;
DEFRA;Cefas;06/08/2010;Consultancy - Legal;Corporate;DEFRA RECEIPTS;20005816;29607.22;
DEFRA;Cefas;06/08/2010;Professional Services Temp Staff - Specialist Contractors;Corporate;Unit4 Business Software Ltd;20004845;30608.75;
DEFRA;Cefas;06/08/2010;Professional Services Technical Subcontracts (scientific work);Aquatic Health & Hygiene;UNIVERSITY OF STIRLING;20005706;28074.00;
DEFRA;Cefas;06/08/2010;Professional Services Technical Subcontracts (original research);Monitoring and Programme Management;EMU LTD;20005254;26518.00;
DEFRA;Cefas;17/08/2010;ICT Maintence & Support;Corporate;Unit4 Business Software Ltd;20006206;50637.85;
DEFRA;Cefas;17/08/2010;ICT Maintence & Support;Corporate;Unit4 Business Software Ltd;20006195;30637.85;
DEFRA;Cefas;24/08/2010;Professional Services Technical Subcontracts (original research);Fisheries;SAHFOS;20006457;28750.00;
DEFRA;Cefas;24/08/2010;Professional Services Technical Subcontracts (original research);Fisheries;SAHFOS;20006458;28750.00;
DEFRA;Cefas;24/08/2010;Professional Services Technical Subcontracts (original research);Fisheries;SAHFOS;20006459;23000.00;
DEFRA;Cefas;27/08/2010;Professional Services Technical Subcontracts (scientific work);Aquatic Health & Hygiene;BRUNEL UNIVERSITY;20006527;23750.00;
