Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,
Home Office,Home Office  ,07/09/2012,Grants,SIIG - Safeguarding Immigration & International Group,INDEPENDENT SAFEGUARDING AUTHORITY (G),3000045326," 960,162.00 ",
Home Office,Home Office  ,04/09/2012,"IT, TelecommsManaged Service.Support (General)",SIIG - Safeguarding Immigration & International Group,LOGICA UK LTD,1001303252," 50,871.60 ",
Home Office,Home Office  ,28/09/2012,Public Administration Services.ContOut RC Services-Other,OSCT - Office of Security and Counter-Terrorism,BURNBANK SYSTEMS LTD,1001313954," 31,939.01 ",
Home Office,Home Office  ,28/09/2012,Public Administration Services.ContOut RC Services-Other,OSCT - Office of Security and Counter-Terrorism,BURNBANK SYSTEMS LTD,1001313954," 14,532.24 ",
Home Office,Home Office  ,07/09/2012,"Clothes, shoes & Personal Care.Clothing ",OSCT - Office of Security and Counter-Terrorism,CFOA NATIONAL RESILIENCE LTD,1001305220," 106,573.92 ",
Home Office,Home Office  ,06/09/2012,Laboratory & Scientific Equip.Scientific Equip Running Costs,OSCT - Office of Security and Counter-Terrorism,CT CENTRE (MOD) T/A DSTL,1001304811," 137,540.33 ",
Home Office,Home Office  ,27/09/2012,HOPG Estates Accom Rent,OSCT - Office of Security and Counter-Terrorism,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000045415," 153,285.74 ",
Home Office,Home Office  ,27/09/2012,HOPG Estates Accom Rent,OSCT - Office of Security and Counter-Terrorism,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000045415," 102,190.49 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 299,356.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 124,860.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 293,276.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 79,451.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 242,839.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 1,035,419.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 2,199,659.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 99,947.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,DORSET POLICE AUTHORITY 1 (G),1001313172," 37,508.00 ",
Home Office,Home Office  ,17/09/2012,Agency Staff,OSCT - Office of Security and Counter-Terrorism,FOREIGN AND COMMONWEALTH OFFICE,3000045363," 6,050.00 ",
Home Office,Home Office  ,17/09/2012,Legal Advice,OSCT - Office of Security and Counter-Terrorism,FOREIGN AND COMMONWEALTH OFFICE,3000045363," 9,910.00 ",
Home Office,Home Office  ,17/09/2012,Consultancy Advice,OSCT - Office of Security and Counter-Terrorism,FOREIGN AND COMMONWEALTH OFFICE,3000045363," 5,500.00 ",
Home Office,Home Office  ,17/09/2012,Legal Fees  ,OSCT - Office of Security and Counter-Terrorism,FOREIGN AND COMMONWEALTH OFFICE,3000045363," 6,875.00 ",
Home Office,Home Office  ,18/09/2012,"IT, TelecommsManaged Service.Support (General)",OSCT - Office of Security and Counter-Terrorism,HEWLETT PACKARD,1001309179," 110,855.44 ",
Home Office,Home Office  ,25/09/2012,IT/IS ,OSCT - Office of Security and Counter-Terrorism,KPMG LLP,1001312225," 64,365.60 ",
Home Office,Home Office  ,25/09/2012,IT/IS ,OSCT - Office of Security and Counter-Terrorism,KPMG LLP,1001312225," 23,847.60 ",
Home Office,Home Office  ,25/09/2012,IT/IS ,OSCT - Office of Security and Counter-Terrorism,KPMG LLP,1001312225," 25,113.60 ",
Home Office,Home Office  ,06/09/2012,Education & Training Services.Training & Development,OSCT - Office of Security and Counter-Terrorism,LONDON FIRE & EPA,1001304852," 36,000.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 724,525.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 209,928.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 370,819.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 11,626,020.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 3,654,072.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 1,649,224.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 191,568.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 10,337,735.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 55,064.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 39,231.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 522,390.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 1,909,885.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 113,491.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 651,065.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 802,792.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 25,702.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 45,316.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 947,238.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 462,321.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 1,016,784.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 218,036.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 15,887,679.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 943,910.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 364,982.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 57,394.00 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 6,438.65 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 10,025.66 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 6,953.90 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 5,548.94 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 5,253.30 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 5,092.63 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 8,630.46 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 9,562.16 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 4,259.83 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 6,501.36 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 8,744.95 ",
Home Office,Home Office  ,21/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001311062," 6,648.94 ",
Home Office,Home Office  ,06/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,NAO - NATIONAL AUDIT OFFICE,3000045318," 3,590.75 ",
Home Office,Home Office  ,06/09/2012,Professional & Admin Services.Seconded in Staff costs,OSCT - Office of Security and Counter-Terrorism,NAO - NATIONAL AUDIT OFFICE,3000045318," 9,382.50 ",
Home Office,Home Office  ,11/09/2012,"Science, Technical & Research.IT Running costs",OSCT - Office of Security and Counter-Terrorism,REPKNIGHT LTD,1001306329," 63,595.20 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,SECURITY SERVICES GROUP (G),1001313230," 235,200.00 ",
Home Office,Home Office  ,26/09/2012,Grants,OSCT - Office of Security and Counter-Terrorism,SECURITY SERVICES GROUP (G),1001313230," 1,436,685.16 ",
Home Office,Home Office  ,12/09/2012,Grants,CPG - Crime & Policing Group,INDEPENDENT POLICE COMPLAINTS COMISSION (G),4000004156," 3,000,000.00 ",
Home Office,Home Office  ,26/09/2012,Grants,CPG - Crime & Policing Group,INDEPENDENT POLICE COMPLAINTS COMISSION (G),1001313190," 2,000,000.00 ",
Home Office,Home Office  ,13/09/2012,Grants,CPG - Crime & Policing Group,WEST YORKSHIRE POLICE (G),1001307828," 476,032.08 ",
Home Office,Home Office  ,28/09/2012,Delivery of IT IS Programmes,CPG - Crime & Policing Group,KPMG LLP,1001314001," 168,285.60 ",
Home Office,Home Office  ,05/09/2012,Grants,CPG - Crime & Policing Group,COMMUNITIES & LOCAL GOVERNMENT (G),3000045308," 2,395,940.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,AVON & SOMERSET POLICE AUTHORITY 1 (G),1001311618," 1,828,180.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,BEDFORDSHIRE POLICE AUTHORITY 1 (G),1001311619," 686,735.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE AUTHORITY 1 (G),1001311621," 908,608.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001311622," 315,312.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,CHESHIRE POLICE AUTHORITY 2 (G),1001311623," 1,205,028.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,CLEVELAND POLICE AUTHORITY 1 (G),1001311624," 736,959.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,CUMBRIA POLICE AUTHORITY 1 (G),1001311625," 583,758.00 ",
Home Office,Home Office  ,27/09/2012,Grants,CPG - Crime & Policing Group,DEPARTMENT FOR CULTURE MEDIA AND SPORT (G),3000045416," 90,916.94 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),1001311626," 914,618.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,DEVON & CORNWALL POLICE AUTHORITY 1 (G),1001311627," 1,871,304.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,DORSET POLICE AUTHORITY 1 (G),1001311628," 811,421.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,DURHAM POLICE AUTHORITY 1 (G),1001311629," 829,045.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,DYFED POWYS POLICE AUTHORITY 1 (G),1001311630," 409,164.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,ESSEX POLICE AUTHORITY (G),1001311632," 1,792,839.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,GLOUCESTERSHIRE POLICE AUTHORITY (G),1001311633," 743,905.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001311634," 25,317,472.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,GREATER MANCHESTER POLICE AUTHORITY (G),1001311635," 4,323,511.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,GWENT POLICE AUTHORITY 1 (G),1001311636," 736,317.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,HAMPSHIRE POLICE AUTHORITY 1 (G),1001311638," 1,891,116.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,HERTFORDSHIRE POLICE AUTHORITY 1 (G),1001311639," 1,325,813.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,HUMBERSIDE POLICE AUTHORITY 1 (G),1001311640," 1,183,297.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,KENT POLICE AUTHORITY 1 (G),1001311641," 2,001,363.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,LANCASHIRE POLICE AUTHORITY 1 (G),1001311642," 2,040,785.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,LEICESTERSHIRE POLICE AUTHORITY (G),1001311643," 1,173,747.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,LINCOLNSHIRE POLICE AUTHORITY 1 (G),1001311644," 712,651.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),1001311645," 2,456,417.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,NEW WEST MERCIA POLICE AUTHORITY (G),1001311646," 1,331,104.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,NORFOLK POLICE AUTHORITY 1 (G),1001311647," 983,273.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,NORTH WALES POLICE AUTHORITY (G),1001311648," 829,544.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,NORTH YORKSHIRE POLICE AUTHORITY (G),1001311649," 850,395.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,NORTHAMPTONSHIRE POLICE 1 (G),1001311650," 757,935.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,NORTHUMBRIA POLICE (G),1001311651," 2,230,872.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,NOTTINGHAMSHIRE POLICE AUTHORITY 2 (G),1001311652," 1,363,730.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,SOUTH WALES POLICE AUTHORITY 1 (G),1001311653," 1,672,258.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE AUTHORITY 1 (G),1001311654," 1,639,838.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,STAFFORDSHIRE POLICE AUTHORITY (G),1001311655," 1,112,875.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,SUFFOLK POLICE AUTHORITY (G),1001311656," 763,464.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,SURREY POLICE AUTHORITY 1 (G),1001311657," 1,104,834.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,SUSSEX POLICE AUTHORITY 1 (G),1001311658," 1,797,197.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,THAMES VALLEY POLICE (G),1001311659," 2,281,073.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,WARWICKSHIRE POLICE AUTHORITY 1 (G),1001311660," 689,022.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,WEST MIDLANDS POLICE AUTHORITY 1 (G),1001311661," 3,976,076.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,WEST YORKSHIRE POLICE (G),1001311662," 3,564,032.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,WILTSHIRE CONSTABULARY (G),1001311663," 701,153.00 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,AVON & SOMERSET POLICE AUTHORITY 1 (G),1001303120," 9,390,897.08 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,BEDFORDSHIRE POLICE AUTHORITY 1 (G),1001303121," 3,403,012.42 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE AUTHORITY 1 (G),1001303122," 4,168,368.08 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001303123," 2,517,302.83 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,CHESHIRE POLICE AUTHORITY 2 (G),1001303124," 5,357,603.33 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,CLEVELAND POLICE AUTHORITY 1 (G),1001303125," 3,955,851.17 ",
Home Office,Home Office  ,12/09/2012,Grants,CPG - Crime & Policing Group,COMMUNITIES & LOCAL GOVERNMENT (G),3000045345," 13,410,488.00 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,CUMBRIA POLICE AUTHORITY 1 (G),1001303126," 2,545,396.75 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),1001303127," 5,419,919.50 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,DEVON & CORNWALL POLICE AUTHORITY 1 (G),1001303128," 9,204,510.75 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,DORSET POLICE AUTHORITY 1 (G),1001303130," 3,534,020.25 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,DURHAM POLICE AUTHORITY 1 (G),1001303131," 3,688,842.00 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,DYFED POWYS POLICE AUTHORITY 1 (G),1001303132," 2,673,285.80 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,DYFED POWYS POLICE AUTHORITY 1 (G),1001303132," 525,759.66 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,ESSEX POLICE AUTHORITY (G),1001303134," 9,127,825.75 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,GLOUCESTERSHIRE POLICE AUTHORITY (G),1001303135," 3,017,868.42 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001303136," 87,634,000.75 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,GREATER MANCHESTER POLICE AUTHORITY (G),1001303137," 19,186,257.83 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,GWENT POLICE AUTHORITY 1 (G),1001303138," 3,723,023.08 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,HAMPSHIRE POLICE AUTHORITY 1 (G),1001303139," 10,678,106.42 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,HERTFORDSHIRE POLICE AUTHORITY 1 (G),1001303141," 6,154,472.58 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,HUMBERSIDE POLICE AUTHORITY 1 (G),1001303142," 5,788,273.42 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,KENT POLICE AUTHORITY 1 (G),1001303143," 9,124,475.25 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,LANCASHIRE POLICE AUTHORITY 1 (G),1001303144," 8,806,760.42 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,LEICESTERSHIRE POLICE AUTHORITY (G),1001303145," 5,609,790.33 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,LINCOLNSHIRE POLICE AUTHORITY 1 (G),1001303146," 3,318,234.00 ",
Home Office,Home Office  ,19/09/2012,Grants,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (G),1001309925," 22,500,000.00 ",
Home Office,Home Office  ,26/09/2012,Grants,CPG - Crime & Policing Group,MAYORS OFFICE FOR POLICING AND CRIME (G),1001313208," 4,390,000.00 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),1001303147," 10,581,245.00 ",
Home Office,Home Office  ,24/09/2012,Grants,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),1001311645," 31,148.18 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,NEW WEST MERCIA POLICE AUTHORITY (G),1001303148," 5,716,345.42 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,NORFOLK POLICE AUTHORITY 1 (G),1001303149," 4,473,503.00 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,NORTH WALES POLICE AUTHORITY (G),1001303150," 3,852,897.50 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,NORTH WALES POLICE AUTHORITY (G),1001303150," 540,961.75 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,NORTH YORKSHIRE POLICE AUTHORITY (G),1001303152," 3,655,512.33 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,NORTHAMPTONSHIRE POLICE 1 (G),1001303153," 3,769,495.83 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,NORTHUMBRIA POLICE (G),1001303154," 9,582,660.83 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,NOTTINGHAMSHIRE POLICE AUTHORITY 2 (G),1001303155," 6,723,839.92 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,SOUTH WALES POLICE AUTHORITY 1 (G),1001303156," 7,724,168.17 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE AUTHORITY 1 (G),1001303157," 8,562,347.67 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,STAFFORDSHIRE POLICE AUTHORITY (G),1001303158," 5,718,595.25 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,SUFFOLK POLICE AUTHORITY (G),1001303159," 3,563,378.33 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,SURREY POLICE AUTHORITY 1 (G),1001303160," 5,418,540.92 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,SUSSEX POLICE AUTHORITY 1 (G),1001303162," 8,427,919.75 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,THAMES VALLEY POLICE (G),1001303163," 12,248,368.58 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,WARWICKSHIRE POLICE AUTHORITY 1 (G),1001303164," 2,723,170.08 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,WEST MIDLANDS POLICE AUTHORITY 1 (G),1001303165," 21,074,627.00 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,WEST YORKSHIRE POLICE (G),1001303166," 14,942,934.17 ",
Home Office,Home Office  ,03/09/2012,Grants,CPG - Crime & Policing Group,WILTSHIRE CONSTABULARY (G),1001303167," 3,223,269.50 ",
Home Office,Home Office  ,11/09/2012,Grants,CPG - Crime & Policing Group,AVA PROJECT (THE) (G),1001306760," 29,850.00 ",
Home Office,Home Office  ,11/09/2012,Grants,CPG - Crime & Policing Group,AVA PROJECT (THE) (G),1001306760," 50,000.00 ",
Home Office,Home Office  ,12/09/2012,Grants,CPG - Crime & Policing Group,BIRMINGHAM AND SOLIHULL WOMEN'S AID (G),1001307281," 60,000.00 ",
Home Office,Home Office  ,28/09/2012,Grants,CPG - Crime & Policing Group,CROYDON COUNCIL (G),1001314402," 172,227.00 ",
