Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,IT Managed Services,Information & Communications Technology & Science Directorate,IPL Information Processing Ltd.,5100054851,5.00
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,Other consultancy,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100054869,25012.56
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,Other consultancy,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100054873,163194.03
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100054938,23587.50
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,IT Hardware,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100054949,161799.53
Home Office,NPIA - National Policing Improvement Agency,13/06/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100055143,492021.00
Home Office,NPIA - National Policing Improvement Agency,13/06/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100055160,492021.00
Home Office,NPIA - National Policing Improvement Agency,14/06/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100054142,427749.00
Home Office,NPIA - National Policing Improvement Agency,14/06/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100055173,-427749.00
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Rent of telephone exchange,Information & Communications Technology & Science Directorate,BT Global Services,1900061576,72281.45
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Other consultancy,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100055333,44437.00
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Other consultancy,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100055333,381.43
Home Office,NPIA - National Policing Improvement Agency,23/06/2011,Telephone charges,Information & Communications Technology & Science Directorate,BT Plc,1700005367,-45043.45
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Telephone charges,Information & Communications Technology & Science Directorate,BT Plc,1900061847,37043.07
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT Information Support,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100055525,24544.00
Home Office,NPIA - National Policing Improvement Agency,02/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100054443,226057.22
Home Office,NPIA - National Policing Improvement Agency,02/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100054444,14844329.73
Home Office,NPIA - National Policing Improvement Agency,01/06/2011,IT software,Operations Directorate,UNISYS Ltd,5100053935,61819.00
Home Office,NPIA - National Policing Improvement Agency,01/06/2011,IT software,Operations Directorate,UNISYS Ltd,5100053935,25414.00
Home Office,NPIA - National Policing Improvement Agency,01/06/2011,IT software,Operations Directorate,UNISYS Ltd,5100053935,8665.62
Home Office,NPIA - National Policing Improvement Agency,01/06/2011,IT software,Operations Directorate,UNISYS Ltd,5100053935,8.38
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,IT Managed Services,Operations Directorate,Airwave Solutions Ltd,5100054131,189782.93
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,IT Managed Services,Operations Directorate,Airwave Solutions Ltd,5100054449,189782.93
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT software,Operations Directorate,Northgate Information Solutions UK,5100054846,36742.40
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100054899,-14850353.70
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100054899,6023.97
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100054900,14835503.35
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100054900,8826.38
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055170,60699.00
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055170,25191.07
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055170,8297.08
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055170,77888.97
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055171,88775.00
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,IT Managed Services,Operations Directorate,Airwave Solutions Ltd,5100055172,189782.93
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055179,24457.59
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055180,368459.38
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055181,640100.29
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055182,588667.38
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055215,-324683.19
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055215,-263984.19
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055216,588667.83
Home Office,NPIA - National Policing Improvement Agency,20/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055216,-0.45
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055219,-640097.29
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055219,-3.00
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055220,640097.29
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100055220,-6.01
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100054291,410083.15
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100054291,7704.37
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT software,Operations Directorate,UNISYS Ltd,5100055433,4365.38
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT software,Operations Directorate,UNISYS Ltd,5100055433,-8.38
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT software,Operations Directorate,UNISYS Ltd,5100055433,38472.00
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT software,Operations Directorate,UNISYS Ltd,5100055433,27.00
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT equipment <£5000,Policing Policy and Practice Directorate ,Fujitsu (FTS) Limited,5100054538,116466.17
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,Contractors,Policing Policy and Practice Directorate ,Advantage Technical Resourcing,5100054802,23627.50
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT Information Support,Policing Policy and Practice Directorate ,Steria Ltd,5100055221,44963.78
Home Office,NPIA - National Policing Improvement Agency,03/06/2011,Land and Buildings maintenance,Resources Directorate,Scott Wilson Ltd,1900061551,31852.90
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Wyboston Lakes Ltd,5100054882,31622.55
Home Office,NPIA - National Policing Improvement Agency,22/06/2011,Electricity,Resources Directorate,EDF Energy,1900061745,21995.00
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Home Office,5100054663,82144.00
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Home Office,5100054663,1642.88
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Home Office,5100054663,226556.52
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Home Office,5100054663,4531.13
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Home Office,5100054663,92562.00
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Home Office,5100054663,1851.24
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Home Office,5100054663,321428.00
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Home Office,5100054663,6427.88
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,Rent/lease - Offices,Resources Directorate,Executive Communication Centres,5100054811,13797.00
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,Rent/lease - Offices,Resources Directorate,Executive Communication Centres,5100054811,275.94
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Executive Communication Centres,5100054811,17855.75
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Executive Communication Centres,5100054811,354.57
Home Office,NPIA - National Policing Improvement Agency,08/06/2011,FM Costs,Resources Directorate,Wyboston Lakes Ltd,5100055042,-31622.55
Home Office,NPIA - National Policing Improvement Agency,14/06/2011,FM Costs,Resources Directorate,Wyboston Lakes Ltd,5100055043,31002.50
Home Office,NPIA - National Policing Improvement Agency,14/06/2011,FM Costs,Resources Directorate,Wyboston Lakes Ltd,5100055043,620.05
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,IT Managed Services,Resources Directorate,Spikes Cavell Analytic Limited,5100055161,60194.69
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,2455.71
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,491.14
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,67531.40
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,13506.28
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,12643.52
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,252.87
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,533.30
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,10.67
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,15334.59
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,306.69
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,27055.75
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Home Office,5100054580,541.11
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,FM Costs,Resources Directorate,Home Office,5100054580,682.57
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,FM Costs,Resources Directorate,Home Office,5100054580,13.65
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061047,4339.34
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061047,19723.44
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061047,5063.71
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061047,276.02
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061047,393.26
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061047,45363.27
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061553,3597.10
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061553,4100.66
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061553,15860.19
Home Office,NPIA - National Policing Improvement Agency,21/06/2011,Electricity,Resources Directorate,EDF Energy Exeter,1900061553,44530.03
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Land and Buildings maintenance,Resources Directorate,Interserve Project Services Limited,1900061883,60840.00
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Rent/lease - Offices,Resources Directorate,Mapeley STEPS Ltd,5100055571,487500.00
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,Rent/lease - Offices,Resources Directorate,Mapeley STEPS Ltd,5100055571,9750.00
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,FM Costs,Resources Directorate,Mapeley STEPS Ltd,5100055571,140070.00
Home Office,NPIA - National Policing Improvement Agency,28/06/2011,FM Costs,Resources Directorate,Mapeley STEPS Ltd,5100055571,2725.33
