Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,
Home Office,IPS - Identity & Passport Service,23/09/2011,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,0000140032,"249,559.20",
Home Office,IPS - Identity & Passport Service,26/09/2011,Accommodation,IPS - Identity & Passport Service,Mapeley ABI Provider Limited,0,"748,230.73",
Home Office,IPS - Identity & Passport Service,26/09/2011,IT Development/Service Charges,IPS - Identity & Passport Service,Cable & Wireless,0,"180,784.90",
Home Office,CRB - Criminal Records Bureau,09/09/2011,Police costs per check,CRB - Criminal Records Bureau,Humberside Police Authority,16446  16,"47,706.05",
Home Office,CRB - Criminal Records Bureau,30/09/2011,Police costs per check,CRB - Criminal Records Bureau,Humberside Police Authority,16501  20,"53,952.13",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,KENT CONSTABULARY,16467  13,"70,250.70",
Home Office,CRB - Criminal Records Bureau,09/09/2011,Police costs per check,CRB - Criminal Records Bureau,Lancashire Police Authority,16446  17,"41,427.37",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,Lancashire Police Authority,16467  14,"50,782.81",
Home Office,CRB - Criminal Records Bureau,30/09/2011,Police costs per check,CRB - Criminal Records Bureau,Leicestershire Police Authorit,16501  21,"103,845.98",
Home Office,CRB - Criminal Records Bureau,30/09/2011,Police costs per check,CRB - Criminal Records Bureau,Merseyside Police Authority,16501  23,"52,226.04",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,The Metropolitan Police,16467  15,"575,810.20",
Home Office,CRB - Criminal Records Bureau,23/09/2011,Police costs per check,CRB - Criminal Records Bureau,The Metropolitan Police,16485  24,"566,495.06",
Home Office,CRB - Criminal Records Bureau,09/09/2011,Police costs per check,CRB - Criminal Records Bureau,Northants Police Authority,16446  22,"26,670.56",
Home Office,CRB - Criminal Records Bureau,30/09/2011,Police costs per check,CRB - Criminal Records Bureau,Northants Police Authority,16501  26,"26,505.41",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,North Wales Police Funding Acc,16467  17,"61,038.63",
Home Office,CRB - Criminal Records Bureau,09/09/2011,Police costs per check,CRB - Criminal Records Bureau,Royal Military Police,16446  27,"25,327.14",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,Disclosure Scotland,16467  19,"38,461.69",
Home Office,CRB - Criminal Records Bureau,09/09/2011,Police costs per check,CRB - Criminal Records Bureau,Avon & Somerset Police,16446  28,"58,459.75",
Home Office,CRB - Criminal Records Bureau,09/09/2011,Police costs per check,CRB - Criminal Records Bureau,South Wales Police,16446  29,"25,829.89",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,South Yorkshire Police,16467  20,"32,183.33",
Home Office,CRB - Criminal Records Bureau,09/09/2011,Police costs per check,CRB - Criminal Records Bureau,Surrey Police Authority,16446  31,"33,333.33",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,Surrey Police Authority,16467  22,"33,333.33",
Home Office,CRB - Criminal Records Bureau,30/09/2011,Police costs per check,CRB - Criminal Records Bureau,West Midlands Police,16501  33,"116,897.02",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,West Yorkshire Police,16467  25,"65,862.81",
Home Office,CRB - Criminal Records Bureau,16/09/2011,Police costs per check,CRB - Criminal Records Bureau,West Mercia Police Fund,16467  27,"48,836.05",
Home Office,CRB - Criminal Records Bureau,02/08/2011,Public Private Partnership contract / agreement,CRB - Criminal Records Bureau,Capita Business Services Ltd,16452  1,"15,108,720.26",
Home Office,CRB - Criminal Records Bureau,12/09/2011,Public Private Partnership contract / agreement,CRB - Criminal Records Bureau,Capita Business Services Ltd,16448  12,"273,855.12",
Home Office,CRB - Criminal Records Bureau,14/09/2011,Payroll,CRB - Criminal Records Bureau,MoJ,16472  1,"1,390,300.46",
Home Office,SOCA - Serious Organised Crime Agency,23/08/2011,IT Expenses,Corporate Services,LOGICA UK LTD,85599,"1,986,004.75",
Home Office,SOCA - Serious Organised Crime Agency,23/08/2011,Premises,Corporate Services,KIER BUILDING SERVICES,85605,"66,689.94",
Home Office,SOCA - Serious Organised Crime Agency,24/08/2011,Property Plant & Equipment,Investment Board,WATES INTERIORS LTD,85700,"1,500,000.00",
Home Office,SOCA - Serious Organised Crime Agency,24/08/2011,Premises,Corporate Services,KIER BUILDING SERVICES,85702,"120,000.00",
Home Office,SOCA - Serious Organised Crime Agency,24/08/2011,PFI Contract Charges,Investment Board,SERCO JUSTICE,85738,"43,053.60",
Home Office,SOCA - Serious Organised Crime Agency,24/08/2011,PFI Contract Charges,Investment Board,SERCO JUSTICE,85740,"81,478.80",
Home Office,SOCA - Serious Organised Crime Agency,24/08/2011,PFI Contract Charges,Investment Board,SERCO JUSTICE,85741,"80,546.40",
Home Office,SOCA - Serious Organised Crime Agency,24/08/2011,Premises,Corporate Services,GOVERNMENT ESTATES MANAGEMENT,85752,"300,000.00",
Home Office,SOCA - Serious Organised Crime Agency,30/08/2011,Premises,Corporate Services,KIER BUILDING SERVICES,86006,"43,234.74",
Home Office,SOCA - Serious Organised Crime Agency,30/08/2011,Office and General Expenses,Corporate Services,OFFICE DEPOT UK LTD,86109,"40,519.85",
Home Office,SOCA - Serious Organised Crime Agency,30/08/2011,Office Equipment & Repairs,Corporate Services,CANON (UK) LTD,86189,"53,483.22",
Home Office,SOCA - Serious Organised Crime Agency,02/09/2011,Operational and Communications Costs,Investment Board,SEPURA LTD,86598,"-33,024.00",
Home Office,SOCA - Serious Organised Crime Agency,02/09/2011,Property Plant & Equipment,Investment Board,DRIVERS JONAS DELOITTE,86590,"46,286.40",
Home Office,SOCA - Serious Organised Crime Agency,05/09/2011,IT Expenses,Corporate Services,LOGICA UK LTD,86692,"27,004.70",
Home Office,SOCA - Serious Organised Crime Agency,06/09/2011,Contingent Labour,Investment Board,LA INT'L COMPUTER CONSULTANTS,86874,"28,430.16",
Home Office,SOCA - Serious Organised Crime Agency,06/09/2011,IT Expenses,Corporate Services,VODAFONE ,86891,"94,068.70",
Home Office,SOCA - Serious Organised Crime Agency,06/09/2011,Forensic Fees,Intelligence,FORENSIC SCIENCE SERVICE,86892,"58,295.48",
Home Office,SOCA - Serious Organised Crime Agency,06/09/2011,Property Plant & Equipment,Investment Board,WATES INTERIORS LTD,86894,"1,284,000.00",
Home Office,SOCA - Serious Organised Crime Agency,06/09/2011,Contingent Labour,Corporate Services,ADECCO ALFRED MARKS,86905,"81,359.98",
Home Office,SOCA - Serious Organised Crime Agency,07/09/2011,IT Expenses,Intelligence,HMGCC,86985,"149,381.51",
Home Office,SOCA - Serious Organised Crime Agency,09/09/2011,PFI Contract Charges,Corporate Services,SERCO JUSTICE,87181,"95,925.60",
Home Office,SOCA - Serious Organised Crime Agency,13/09/2011,Property Plant & Equipment,Investment Board,DRIVERS JONAS DELOITTE,87550,"36,254.33",
Home Office,SOCA - Serious Organised Crime Agency,13/09/2011,Forensic Fees,Intelligence,METROPOLITAN POLICE SERVICE,87552,"25,306.25",
Home Office,SOCA - Serious Organised Crime Agency,13/09/2011,Premises,Investment Board,OCS GROUP UK LTD (OCS SECURITY),87574,"41,456.29",
Home Office,SOCA - Serious Organised Crime Agency,13/09/2011,Property Plant & Equipment,Non-SOCA Business,LOGICA UK LTD,87587,"156,240.00",
Home Office,SOCA - Serious Organised Crime Agency,21/09/2011,Premises,Corporate Services,OCS GROUP UK LTD (OCS SECURITY),88196,"137,412.24",
Home Office,SOCA - Serious Organised Crime Agency,21/09/2011,Premises,Corporate Services,OCS GROUP UK LTD (OCS SECURITY),88202,"45,714.82",
Home Office,SOCA - Serious Organised Crime Agency,21/09/2011,Premises,Corporate Services,OCS GROUP UK LTD (OCS SECURITY),88199,"-97,788.24",
Home Office,SOCA - Serious Organised Crime Agency,21/09/2011,Premises,Corporate Services,OCS GROUP UK LTD (OCS SECURITY),88203,"-32,952.19",
Home Office,SOCA - Serious Organised Crime Agency,21/09/2011,Premises,Corporate Services,OCS GROUP UK LTD (OCS SECURITY),88195,"-29,221.92",
Home Office,SOCA - Serious Organised Crime Agency,21/09/2011,Premises,Corporate Services,RUSHBELL LTD,88208,"40,782.23",
Home Office,SOCA - Serious Organised Crime Agency,22/09/2011,IT Expenses,Corporate Services,LOGICA UK LTD,88246,"1,986,004.75",
Home Office,SOCA - Serious Organised Crime Agency,22/09/2011,Property Plant & Equipment,Non-SOCA Business,LOGICA UK LTD,88270,"156,240.00",
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,"12,833.34",
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,503.34,
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,"1,369.46",
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,"3,240.82",
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,"6,416.67",
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,128.34,
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,251.67,
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,5.03,
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,826.00,
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,16.52,
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,"1,620.41",
Home Office,NPIA - National Policing Improvement Agency,23/09/2011,HO secondees - Basic salaries,CEO Directorate,Home Office Pay Service,5100057738,32.41,
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,Telephone charges,Information & Communications Technology & Science Directorate,Government Procurement Service,1700005277,"-61,873.20",
Home Office,NPIA - National Policing Improvement Agency,21/09/2011,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100056736,"1,110.30",
