Department Family,Entity,Date,Expense Type,Expense area,Supplier Name,Transaction number, Amount 
Defra,Royal Botanic Gardens Kew,26/07/2011,External audit fees                    ,Finance Finance Section Core None,GBS Re National Audit Office,MS0196667," 26,000.00 "
Defra,Royal Botanic Gardens Kew,26/07/2011,Planned Maintenance,Estates Kew Section Core None,Norland Managed Services,MS0196756," 147,040.56 "
Defra,Royal Botanic Gardens Kew,26/07/2011,Planned Maintenance,Estates Kew Section Core None,Norland Managed Services,MS0196757," 147,040.56 "
Defra,Royal Botanic Gardens Kew,05/07/2011,Maintenance Projects ,Estates Kew Section Core None,Norland Managed Services,MS0196028," 29,393.35 "
Defra,Royal Botanic Gardens Kew,19/07/2011,New works-Pt I-other costs    ,Estates Capital Projects Section Core Quarantine House,Unigro Ltd,MS0196447," 236,047.94 "
Defra,Royal Botanic Gardens Kew,19/07/2011,New works-Pt II-other costs   ,Estates Wakehurst Section Core WP Visitor Centre,Apple Display & Shopfitting Ltd,MS0196536," 42,387.50 "
Defra,Royal Botanic Gardens Kew,19/07/2011,New works-Pt II-other costs   ,Estates Wakehurst Section Core WP Visitor Centre,Apple Display & Shopfitting Ltd,MS0196536," 40,000.00 "
Defra,Royal Botanic Gardens Kew,19/07/2011,New works-Pt II-other costs   ,Estates Kew Section Core None,Turner & Townsend Project Management Ltd,MS0196564," 30,029.98 "
Defra,Royal Botanic Gardens Kew,20/07/2011,Electricity                   ,Estates Kew Energy Core None,EDF Energy Customers plc,MS0196613," 46,483.48 "
Defra,Royal Botanic Gardens Kew,26/07/2011,Office and window cleaning,Estates Kew Support Services Core None,Design Clean Limited,MS0196694," 34,427.26 "
Defra,Royal Botanic Gardens Kew,05/07/2011,Advertising & publicity       ,Communications & Commercial Activities Advertising Kew Core Summer Festival 2011,ARENA MEDIA,MS0196036," 43,813.42 "
Defra,Royal Botanic Gardens Kew,05/07/2011,Advertising & publicity       ,Communications & Commercial Activities Advertising Kew Core Summer Festival 2011,ARENA MEDIA,MS0196038," 34,147.15 "
Defra,Royal Botanic Gardens Kew,05/07/2011,Professional Services – Digital Media,Content & Learning Digital Media Web Publishing Core Website Development 2010,Mouchel Management Consulting Ltd,MS0196047," 28,700.00 "
