Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,19/09/2014,"4,816,948","53,596.59",INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Catering Services, Contract Fees, Grounds Maintenance, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Purchase of Furniture, Fittings and Domestic Appliances, Waste Disposal"
FCO,FCO,18/09/2014,"4,817,149","36,584.37",CENTRI CIVILNIH INICIJATIVA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2014,"4,817,279","188,898.30",LONDON ENERGY,Electricity Non-Residential
FCO,FCO,18/09/2014,"4,817,318","172,348.70",KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,22/09/2014,"4,817,329","27,110.10",BRITISH TRADE AND COMMERCE IN SK,UKTI HQ Allocation- DSO
FCO,FCO,18/09/2014,"4,817,378","110,481.60",JOHN SMITH MEMORIAL TRUST,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2014,"4,817,391","56,862",PHYSICIANS FOR HUMAN RIGHTS INC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/09/2014,"4,817,393","29,735.58",TSF TRIPLE STAR FIRE,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,18/09/2014,"4,817,406","41,334.57",HEALIX INTERNATIONAL LTD,Hospital/Specialist Treatment
FCO,FCO,19/09/2014,"4,818,324","104,500",MEXICHEM UK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2014,"4,818,334","110,020",HRG HOGG ROBINSON TRAVEL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/09/2014,"4,818,342","171,563",G4S SECURE SOLUTIONS (UK),Manned Guarding Services
FCO,FCO,22/09/2014,"4,818,344","339,456.90",G4S SECURE SOLUTIONS (UK),Manned Guarding Services
FCO,FCO,24/09/2014,"4,818,481","96,352.41",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,24/09/2014,"4,818,485","26,824.27",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,23/09/2014,"4,818,539","28,466.32",G4S SECURITY SERVICE DRC SPRL,Local Guards
FCO,FCO,19/09/2014,"4,818,541","200,032.80",OSCE ORGANIZATION FOR SECURITY AND CO OPERATION IN EUROPE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2014,"4,818,679","1,041,325",DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/09/2014,"4,818,695","117,372.60",HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,19/09/2014,"4,818,722","53,424.38",MORSON HUMAN RESOURCES LTD,Residential Property Services
FCO,FCO,19/09/2014,"4,818,742","55,597.60",HTM DESIGN AND CONSULTANT CO LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/09/2014,"4,818,777","33,739.61",N A MOVING SERVICES LTD,Heavy Baggage
