Department,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transation Description,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,100808,UNITARY PAYMENT - SEPTEMBER 2012,"2,048,590.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,CORPORATE CENTRE,IS Retained Services,GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,100025,FIXED TELEPHONES RENTAL AND CALL CHARGES FOR HM TREASURY - JULY 2012,"61,816.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,CORPORATE CENTRE,IS Retained Services,GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,100026,FIXED TELEPHONES RENTAL AND CALL CHARGES FOR CABINET OFFICE - JULY 2012,"118,642.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,CORPORATE CENTRE,Hmt Suspense,ROYAL MINT,100805,CIRCULATING COIN METAL COSTS - AUGUST 2012,"3,156,081.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,CORPORATE CENTRE,Hmt Suspense,ROYAL MINT,100805,CIRCULATING COIN MANUFACTURE COSTS - AUGUST 2012,"2,499,842.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,17-Sep-2012,TREASURY LEGAL ADVISORS,Legal Team,THE TREASURY SOLICITOR,100970,CHARGES FOR ADVISORY LAWYERS - AUGUST 2012,"352,482.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,DMO,19-Sep-2012,DEBT MANAGEMENT OFFICE,Settlements,BANK OF ENGLAND ,101038,BANKING CHARGES - MAY 2012,"102,571.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,DMO,19-Sep-2012,DEBT MANAGEMENT OFFICE,Facilities,JONES LANG LASALLE,101041,DMO OFFICES QUARTERLY SERVICE CHARGES AND UTILITIES,"93,918.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,DMO,19-Sep-2012,DEBT MANAGEMENT OFFICE,Facilities,JONES LANG LASALLE,101041,DMO OFFICES QUARTERLY RENT CHARGES,"288,393.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,19-Sep-2012,CORPORATE CENTRE,HR Central Services,TMP UK LTD,100735,HMT 2012 GRADUATE RECRUITMENT CAMPAIGN ,"27,600.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,21-Sep-2012,CORPORATE CENTRE,Workspace Optimisation (Project),EXCHEQUER PARTNERSHIP PLC,100857,WORKPLACE OPTIMISATION PROJECT,"67,978.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,21-Sep-2012,PUBLIC SPENDING,Public Spending,GOVERNMENT ACTUARY'S DEPT,101085,ACTUARIAL ADVICE  - AUGUST 2012,"41,912.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,21-Sep-2012,PUBLIC SPENDING,Public Spending,GOVERNMENT ACTUARY'S DEPT,100596,ACTUARIAL ADVICE  - JULY 2012,"56,617.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,DMO,21-Sep-2012,DEBT MANAGEMENT OFFICE,Dealers,NATIONAL AUDIT OFFICE,101077,DMO ANNUAL AUDITING COSTS,"31,372.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,24-Sep-2012,CORPORATE CENTRE,HR Central Services,FIDELITI LIMITED,100820,CHILDCARE VOUCHERS - SEPTEMBER 2012 TO DECEMBER 2012,"57,418.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,26-Sep-2012,BUSINESS & INTERNATIONAL TAX,Equitable Life,TOWERS WATSON,101028,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME - AUGUST 2012 ,"172,557.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,27-Sep-2012,CORPORATE CENTRE,FLEX Services,FUJITSU SERVICES LIMITED,100922,MONTHLY SERVICE CHARGES FOR HM TREASURY FLEX RESTRICTED SERVICE - JUNE 2012,"815,434.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,27-Sep-2012,CORPORATE CENTRE,JWS CO Workspace Phase 2,FUJITSU SERVICES LIMITED,101079,CABINET OFFICE  RELOCATIONS AND IT TRANSITION PROGRAMME,"506,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,28-Sep-2012,CORPORATE CENTRE,Hmt Suspense,BARCLAYCARD COMMERCIAL ,101159,GPC CARD STATEMENT - SEPTEMBER 2012,"72,610.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,28-Sep-2012,CORPORATE CENTRE,Hmt Suspense,BARCLAYCARD COMMERCIAL ,101157,LODGE CARD STATEMENT - SEPTEMBER 2012,"111,941.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM Treasury,HM Treasury,28-Sep-2012,CORPORATE CENTRE,JWS Sharepoint Infrastructure,FUJITSU SERVICES LIMITED,101126,ICT UPDATE COSTS - SHAREPOINT,"69,120.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
