Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
Defra,Royal Botanic Gardens Kew,23/07/2012,Planned Maintenance,Defra Royal Botanic Gardens Kew 41019 Planned Maintenance,Norland,MS0208384 ," £168,020.50 ",Annual maintenance charge - June 2012 charge,,,,,,,,
Defra,Royal Botanic Gardens Kew,23/07/2012,Planned Maintenance,Defra Royal Botanic Gardens Kew 41019 Planned Maintenance,Norland,MS0208385 ," £166,210.77 ",Annual maintenance charge - May 2012 charge,,,,,,,,
Defra,Royal Botanic Gardens Kew,23/07/2012,Planned Maintenance,Defra Royal Botanic Gardens Kew 41019 Planned Maintenance,Norland,MS0208386 ," £166,210.77 ",Annual maintenance charge - April 2012 charge,,,,,,,,
Defra,Royal Botanic Gardens Kew,06/07/2012,New works-Pt II-other costs   ,Defra Royal Botanic Gardens Kew 41023 New works-Pt II-other costs   ,Turner and Townsend,MS0207760 ," £117,672.44 ",Temperate House Precinct Project Fees as per agreed drawdown dated April 24th.,,,,,,,,
Defra,Royal Botanic Gardens Kew,06/07/2012,New works-Pt II-other costs   ,Defra Royal Botanic Gardens Kew 41023 New works-Pt II-other costs   ,Turner and Townsend,MS0207761 ," £107,183.23 ",Temperate House Precinct Project Fees as per agreed drawdown dated April 24th.,,,,,,,,
Defra,Royal Botanic Gardens Kew,16/07/2012,New works-Pt II-other costs   ,Defra Royal Botanic Gardens Kew 41023 New works-Pt II-other costs   ,Turner and Townsend,MS0207985 ," £98,295.43 ",Temperate House Precinct Project Fees as per agreed drawdown dated April 24th.,,,,,,,,
Defra,Royal Botanic Gardens Kew,01/08/2012,Professional Services – Conservation and Sustainability ,Defra Royal Botanic Gardens Kew 40981 Professional Services – Conservation and Sustainability ,Department for Energy and Climate Change,MS0208573 ," £73,272.00 ",CRC Energy Efficiency Scheme Phase 1 Allowance Payment for 2011-12,,,,,,,,
Defra,Royal Botanic Gardens Kew,16/07/2012,Marketing ,Defra Royal Botanic Gardens Kew - Marketing costs,Arena BLM Limited,MS0208010 ," £48,051.91 ",Poster production for Nash Exhibition,,,,,,,,
Defra,Royal Botanic Gardens Kew,09/07/2012,Electricity                   ,Defra Royal Botanic Gardens Kew 40975 Electricity                   ,EDF Energy,MS0207831 ," £41,687.41 ",Electricity payment,,,,,,,,
Defra,Royal Botanic Gardens Kew,20/07/2012,Planned Maintenance,Defra Royal Botanic Gardens Kew 41019 Planned Maintenance,Turner and Townsend,MS0208310 ," £38,930.00 ",Kew Project Support,,,,,,,,
Defra,Royal Botanic Gardens Kew,09/07/2012,Planned Maintenance,Defra Royal Botanic Gardens Kew 41019 Planned Maintenance,Turner and Townsend,MS0207862 ," £38,930.00 ",Kew Project Support,,,,,,,,
Defra,Royal Botanic Gardens Kew,19/07/2012,Office and window cleaning,Defra Royal Botanic Gardens Kew 40981 Office and window cleaning,Design Clean,MS0208228 ," £35,258.87 ",Kew Cleaning Contract fees - June 2012,,,,,,,,
Defra,Royal Botanic Gardens Kew,30/07/2012,Road Vehicles,Defra Royal Botanic Gardens Kew 40962 Road Vehicles,Lesedi Motors (Pty) Limited,MS0207619 ," £32,431.56 ",Purchase of Land Rover Defender for Botswana project at College of Agriculture,,,,,,,,
Defra,Royal Botanic Gardens Kew,16/07/2012,Marketing ,Defra Royal Botanic Gardens Kew - Marketing costs,Arena BLM Limited,MS0208015 ," £27,587.20 ",Poster production for Nash Exhibition,,,,,,,,
