UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC13535,05-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł2,371.58",13535
MODGPC13536,13-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł615.22,13536
MODGPC13537,13-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł756.34,13537
MODGPC13538,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł3,198.01",13538
MODGPC13539,12-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł2,391.18",13539
MODGPC13540,06-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł874.20,13540
MODGPC13541,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,882.78",13541
MODGPC13542,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,811.34",13542
MODGPC13543,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,650.00",13543
MODGPC13544,13-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,742.51",13544
MODGPC13545,06-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł706.31,13545
MODGPC13546,03-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł4,100.14",13546
MODGPC13547,03-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł799.50,13547
MODGPC13548,07-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,980.66",13548
MODGPC13549,06-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,908.00",13549
MODGPC13550,06-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,548.20",13550
MODGPC13551,06-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł594.20,13551
MODGPC13552,10-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł2,000.00",13552
MODGPC13553,10-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł2,000.00",13553
MODGPC13554,06-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,452.18",13554
MODGPC13555,06-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,311.08",13555
MODGPC13556,12-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,855.93",13556
MODGPC13557,12-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł903.49,13557
MODGPC13558,06-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł563.04,13558
MODGPC13559,10-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł563.04,13559
MODGPC13560,12-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł763.20,13560
MODGPC13561,04-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,668.57",13561
MODGPC13562,03-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł541.20,13562
MODGPC13563,04-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł675.84,13563
MODGPC13564,05-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,556.63",13564
MODGPC13565,07-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł959.66,13565
MODGPC13566,12-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł983.13,13566
MODGPC13567,11-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł789.60,13567
MODGPC13568,12-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł749.24,13568
MODGPC13569,12-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł619.92,13569
MODGPC13570,04-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł619.92,13570
MODGPC13571,12-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł638.40,13571
MODGPC13572,07-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł744.22,13572
MODGPC13573,05-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł2,258.95",13573
MODGPC13574,07-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł1,310.76",13574
MODGPC13575,11-Oct-11,Auto Rental                        ,Auto Rental                        ,"Ł4,149.60",13575
MODGPC13576,12-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł588.00,13576
MODGPC13577,04-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł553.54,13577
MODGPC13578,11-Oct-11,Auto Rental                        ,Auto Rental                        ,Ł607.37,13578
