Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Defence Science and Technology Laboratory,04/11/2014,Sub Contracted Research,Programme Delivery Directorate,QINETIQ LIMITED,,V - 9000161953 - 00194282,Sub Contracted Research,"£50,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,07/11/2014,Sub Contracted Research,Programme Delivery Directorate,QINETIQ LIMITED,,V - 9000162028 - 00194603,Sub Contracted Research,"£50,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,21/11/2014,Sub Contracted Work,Programme Delivery Directorate,"OPEN GEOSPATIAL CONSORTIUM, INC",,V - 0000003107 - 00195379,Sub Contracted Work,"£50,000.00"
Ministry of Defence,Defence Science and Technology Laboratory,28/11/2014,Sub Contracted Work,Programme Delivery Directorate,QINETIQ LIMITED,,V - 9000162439 - 00195759,Sub Contracted Work,"£50,000.00"
Ministry of Defence,Ministry of Defence,20/11/2014,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,PALLETWAYS (U K) LTD,WS13 8NE,405322,Freight movement costs,"£49,911.10"
Ministry of Defence,Ministry of Defence,10/11/2014,Estate management,Navy Command,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,400863,Estate + facilities management services - accommodation inventory + service,"£49,889.48"
Ministry of Defence,Ministry of Defence,19/11/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BEZIRKSREGIERUNG DUESSELDORF,,5000121065,Works - estate management,"£49,862.41"
Ministry of Defence,Ministry of Defence,20/11/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,FAREHAM BOROUGH COUNCIL,PO16 7PU,405041,Rent buildings - non civil estate property and married quarter property,"£49,826.21"
Ministry of Defence,Ministry of Defence,27/11/2014,Spend on Inventory - General,Defence Equipment + Support,HAAS GROUP INTERNATIONAL SCM LIMITED,WN7 3PT,408906,Spend on Inventory - General,"£49,809.60"
Ministry of Defence,Ministry of Defence,06/10/2014,Medical treatment & stores and welfare services,JFC,SHAPE INTERNATIONAL SCHOOL,,77677013,Schools + community relations initiatives,"£49,731.13"
Ministry of Defence,Council of Reserve Forces and Cadets Association,08/11/2014,Assets in the Course of Construction,Capital Expenditure,Fleming Builders,G66 5ET,5793,Assets in the Course of Construction,"£49,696.94"
Ministry of Defence,Ministry of Defence,12/11/2014,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,ARAMARK LTD,LS16 6QY,401662,Cost of food services,"£49,682.33"
Ministry of Defence,Ministry of Defence,18/11/2014,Fuel for military use,Air Command,ASSOCIATED ENERGY GROUP LLC,,2000023541,Aviation fuel casual uplift consumed,"£49,677.68"
Ministry of Defence,Ministry of Defence,21/11/2014,Estate management,Navy Command,CORPS OF COMMISSIONAIRES  MANAGEMENT LIMITED,RH10 9WE,405726,Estate + facilities management services - accommodation inventory + service,"£49,627.84"
Ministry of Defence,Ministry of Defence,26/11/2014,Spend on Inventory - General,Defence Equipment + Support,MOLECULAR PRODUCTS LIMITED,CM19 5FR,408426,Spend on Inventory - General,"£49,627.20"
Ministry Of Defence,British Defence Staff - United States,12-Nov-14,MEDICAL-NON HOSPITAL TREATMENT,MEDICAL EXPENSE 201411,MERITAIN HEALTH,,382490,"MEDICAL EXPENSE 201411
UNSPECIFIED","£49,602.80"
Ministry of Defence,Ministry of Defence,20/11/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,HUNTINGDONSHIRE DISTRICT COUNCIL,PE29 3TN,405111,Rent buildings - non civil estate property and married quarter property,"£49,581.20"
Ministry of Defence,Defence Science and Technology Laboratory,11/11/2014,Sub Contracted Work,Programme Delivery Directorate,"UNIVERSITY OF WALES, SWANSEA",,V - 9000162083 - 00194720,Sub Contracted Work,"£49,460.00"
Ministry of Defence,Ministry of Defence,25/11/2014,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,408087,Fees for professional services excluding legal fees,"£49,372.40"
Ministry of Defence,Ministry of Defence,18/11/2014,Design services and minor equipment purchases,Defence Equipment + Support,VL TEST SYSTEMS LTD,MK18 1WA,404315,Equipment support non-project costs,"£49,221.95"
Ministry of Defence,Defence Science and Technology Laboratory,18/11/2014,Sub Contracted Work,Programme Delivery Directorate,RED SCIENTIFIC LIMITED,,V - 9000162231 - 00193812,Sub Contracted Work,"£49,066.00"
Ministry of Defence,Ministry of Defence,06/11/2014,Purchase of general transport equipment,Defence Equipment + Support,AEBI SCHMIDT UK LIMITED,PE2 6GP,399137,Transport other asset - in year capital addition,"£48,879.60"
Ministry of Defence,Ministry of Defence,12/11/2014,NCA003 - Estates-Equipment/Works,DIO-SSG,ELMWEST ELECTRICAL COMPANY,BR4 OAH,AP081415002,NCA003 - Estates-Equipment/Works,"£48,581.37"
