Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,04/10/2010,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400119591,"61,664.15"
DFID,DFID,01/10/2010,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",UNDP CONTRIBUTIONS GBP,400121079,"55,000.00"
DFID,DFID,01/10/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",WHO (GENEVA),400121090,"2,910,000.00"
DFID,DFID,01/10/2010,Aid to partner government,West and Southern Africa,THE CROWN AGENTS,400121092,"9,000,000.00"
DFID,DFID,01/10/2010,Aid to international organisations,Policy and Research Directorate,UNEP ENVIRONMENT FUND,400121112,"500,000.00"
DFID,DFID,01/10/2010,Aid to civil society organisations / NGOs,International Relations Division,INTERNATIONAL ALERT,400121117,"225,000.00"
DFID,DFID,01/10/2010,Technical & Advisory services,West and Southern Africa,CARE INTERNATIONAL UK,400121125,"248,928.96"
DFID,DFID,01/10/2010,Technical & Advisory services,Policy and Research Directorate,THE CROWN AGENTS,400121130,"27,580.60"
DFID,DFID,01/10/2010,Technical & Advisory services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400121138,"31,476.00"
DFID,DFID,01/10/2010,Technical & Advisory services,West and Southern Africa,HLSP LIMITED,400121139,"38,487.55"
DFID,DFID,01/10/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",PEACE DIRECT,400121157,"262,269.00"
DFID,DFID,04/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,Royal Institute for Int. Affairs,400121249,"157,632.73"
DFID,DFID,04/10/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",HelpAge International (AG),400121253,"500,000.00"
DFID,DFID,01/10/2010,Technical & Advisory services,International Relations Division,PKF (UK) LLP,400121272,"99,303.33"
DFID,DFID,01/10/2010,Technical & Advisory services,Asia Division,UNIVERSITY OF WOLVERHAMPTON,400121278,"262,033.69"
DFID,DFID,04/10/2010,Aid to international organisations,East and Central Africa,UNFPA,400121287,"400,000.00"
DFID,DFID,01/10/2010,Technical & Advisory services,West and Southern Africa,ONE WORLD,400121288,"67,847.00"
DFID,DFID,01/10/2010,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400121294,"59,945.67"
DFID,DFID,01/10/2010,Technical & Advisory services,West and Southern Africa,HLSP LIMITED,400121303,"1,100,403.25"
DFID,DFID,01/10/2010,Technical & Advisory services,West and Southern Africa,HLSP LIMITED,400121303,"-726,920.00"
DFID,DFID,04/10/2010,Aid to international organisations,Policy and Research Directorate,Drugs for Neglected Diseases Initiative,400121332,"2,000,000.00"
DFID,DFID,04/10/2010,"Property Repairs, Maintenance & Alterations",Human Resources Division,GVA Grimley Ltd,400121343,"36,975.00"
DFID,DFID,04/10/2010,Technical & Advisory services,Asia Division,OPTIONS CONSULTANCY SERVICES LIMITED,400121350,"65,051.00"
DFID,DFID,04/10/2010,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400121390,"50,729.18"
DFID,DFID,04/10/2010,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400121391,"25,364.59"
DFID,DFID,04/10/2010,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400121395,"25,364.59"
DFID,DFID,05/10/2010,Aid to other bilateral donors,Asia Division,UNICEF NY,400121521,"785,916.38"
DFID,DFID,05/10/2010,Aid to other bilateral donors,Asia Division,UNICEF NY,400121521,"2,357,749.13"
DFID,DFID,05/10/2010,Aid to other bilateral donors,Asia Division,ASIAN DEVEOPMENT BANK (USA),400121567,"2,929,913.76"
DFID,DFID,05/10/2010,Aid to other bilateral donors,Asia Division,ASIAN DEVEOPMENT BANK (USA),400121567,"4,394,871.26"
DFID,DFID,05/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,PANOS LONDON,400121641,"490,000.00"
DFID,DFID,05/10/2010,Aid to international organisations,Policy and Research Directorate,The Global Alliance for TB Drug Development,400121652,"2,000,000.00"
DFID,DFID,05/10/2010,Energy Costs,Human Resources Division,EDF ENERGY,400121686,"29,723.23"
DFID,DFID,05/10/2010,Aid to international organisations,Policy and Research Directorate,IBRD HSBC T,400121689,"735,000.00"
DFID,DFID,05/10/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",HARVARD UNIVERSITY (OFFICE FOR SPONSERED PROGRAMS),400121698,"93,894.88"
DFID,DFID,05/10/2010,Aid to international organisations,Asia Division,IBRD HSBC T,400121710,"207,000.00"
DFID,DFID,05/10/2010,Aid to civil society organisations / NGOs,West and Southern Africa,MEDECINS SANS FRONTIERES,400121717,"195,515.00"
DFID,DFID,05/10/2010,Aid to international organisations,Policy and Research Directorate,UNDP CONTRIBUTIONS GBP,400121724,"150,000.00"
DFID,DFID,05/10/2010,Aid to partner government,Asia Division,THE CROWN AGENTS,400121757,"12,000,000.00"
DFID,DFID,06/10/2010,Aid to international organisations,West and Southern Africa,UNCTAD,400121793,"163,495.00"
DFID,DFID,05/10/2010,Technical & Advisory services,Western Asia and Stabilisation Division,OXFORD POLICY MANAGEMENT,400121796,"45,197.22"
DFID,DFID,05/10/2010,Aid to partner government,Asia Division,THE CROWN AGENTS,400121798,"1,000,000.00"
DFID,DFID,06/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,UNITED NATIONS ASSOCIATION INTERNATIONAL SERVICE,400121806,"402,500.00"
DFID,DFID,05/10/2010,Technical & Advisory services,West and Southern Africa,ATOS CONSULTING LIMITED,400121839,"140,091.00"
DFID,DFID,05/10/2010,Research & Development,Policy and Research Directorate,Crown Agents Bank,400121841,"349,388.16"
DFID,DFID,06/10/2010,Aid to civil society organisations / NGOs,Asia Division,WHITE RIBBON ALLIANCE,400121857,"39,877.20"
DFID,DFID,06/10/2010,Aid to civil society organisations / NGOs,Asia Division,WHITE RIBBON ALLIANCE,400121857,"9,183.04"
DFID,DFID,05/10/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400121864,"64,722.87"
DFID,DFID,06/10/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400121869,"33,039.83"
DFID,DFID,06/10/2010,Aid to partner government,West and Southern Africa,THE CROWN AGENTS,400121870,"646,899.98"
DFID,DFID,06/10/2010,Aid to partner government,West and Southern Africa,THE CROWN AGENTS,400121870,"-322,604.00"
DFID,DFID,05/10/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400121874,"60,621.78"
DFID,DFID,06/10/2010,Emergency / Humanitarian Assistance,Western Asia and Stabilisation Division,THE CROWN AGENTS,400121875,"46,173.90"
DFID,DFID,05/10/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400121877,"25,090.95"
DFID,DFID,05/10/2010,Technical & Advisory services,East and Central Africa,HAREWELLE INTERNATIONAL LIMITED,400121892,"27,426.50"
DFID,DFID,05/10/2010,Technical & Advisory services,West and Southern Africa,HEALTH PARTNERS INTERNATIONAL,400121894,"399,050.69"
DFID,DFID,05/10/2010,Technical & Advisory services,Asia Division,NATURAL RESOURCES INTERN,400121924,"73,991.72"
DFID,DFID,06/10/2010,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400121931,"53,917.20"
DFID,DFID,06/10/2010,Technical & Advisory services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400121937,"66,650.00"
DFID,DFID,06/10/2010,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400121937,"87,950.00"
DFID,DFID,05/10/2010,Technical & Advisory services,Asia Division,RTI INTERNATIONAL,400121945,"9,768.00"
DFID,DFID,05/10/2010,Technical & Advisory services,Asia Division,RTI INTERNATIONAL,400121945,"228,968.21"
DFID,DFID,06/10/2010,Technical & Advisory services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400121951,"66,650.00"
DFID,DFID,06/10/2010,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400121951,"87,950.00"
DFID,DFID,06/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,Triple Line Consulting Limited,400121955,"58,160.20"
DFID,DFID,06/10/2010,Aid to civil society organisations / NGOs,West and Southern Africa,Community Media Trust,400121959,"151,515.87"
DFID,DFID,06/10/2010,Aid to civil society organisations / NGOs,West and Southern Africa,FANRPAN,400121987,"28,963.94"
DFID,DFID,06/10/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400121992,"35,047.82"
DFID,DFID,06/10/2010,Technical & Advisory services,Central Department Division,AUSTRIAN DEVELOPMENT AGENCY,400121997,"62,185.57"
DFID,DFID,06/10/2010,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",UNICEF,400121998,"4,000,000.00"
DFID,DFID,06/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,PRACTICAL ACTION LTD,400122000,"272,500.00"
DFID,DFID,06/10/2010,Technical & Advisory services,Policy and Research Directorate,International Road Federation (IRF),400122003,"111,000.00"
DFID,DFID,07/10/2010,Accomodation costs,West and Southern Africa,JAT Constroi,400122135,"20,291.78"
DFID,DFID,07/10/2010,Accomodation costs,West and Southern Africa,JAT Constroi,400122135,"8,696.48"
DFID,DFID,06/10/2010,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",TCI Government,400122148,"333,000.00"
DFID,DFID,05/10/2010,"Property Repairs, Maintenance & Alterations",East and Central Africa,Zhonghao Overseas Construction Eng. Co. Ltd,400122159,"58,474.51"
DFID,DFID,07/10/2010,Aid to civil society organisations / NGOs,West and Southern Africa,EGPAF,400122204,"222,877.55"
DFID,DFID,07/10/2010,Technical & Advisory services,Asia Division,GHK CONSULTING LTD,400122228,"36,564.00"
DFID,DFID,07/10/2010,Technical & Advisory services,Central Department Division,THE CROWN AGENTS,400122232,"36,250.00"
DFID,DFID,07/10/2010,Technical & Advisory services,Central Department Division,FEDERAL INST. OF GEOSCIENCES AND NAT. RESOURCES,400122239,"81,669.97"
DFID,DFID,07/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,SKILLSHARE INTERNATIONAL,400122248,"517,500.00"
DFID,DFID,07/10/2010,Purchase of Vehicles,West and Southern Africa,THE CROWN AGENTS,400122252,"41,602.00"
DFID,DFID,07/10/2010,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400122252,"1,206.46"
DFID,DFID,07/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,NIKE FOUNDATION,400122254,"328,358.72"
DFID,DFID,07/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,Triple Line Consulting Limited,400122257,"441,756.43"
DFID,DFID,07/10/2010,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Geneva Call,400122260,"29,907.81"
DFID,DFID,06/10/2010,Technical & Advisory services,East and Central Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400122265,"43,806.95"
DFID,DFID,06/10/2010,Direct Programme training / facilitation,Western Asia and Stabilisation Division,COFFEY INTERNATIONAL DEVELOPMENT LTD,400122269,"25,069.00"
DFID,DFID,06/10/2010,Staff training & Conferences,Western Asia and Stabilisation Division,COFFEY INTERNATIONAL DEVELOPMENT LTD,400122269,"35,096.91"
DFID,DFID,05/10/2010,Direct Programme training / facilitation,Policy and Research Directorate,THE INSTITUTE OF DEVELOPMENT STUDIE,400122270,"36,139.00"
DFID,DFID,08/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,ETHICAL TRADING INITIATIVE,400122341,"62,500.00"
DFID,DFID,08/10/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,PLAN INTERNATIONAL UK,400122346,"617,500.00"
DFID,DFID,07/10/2010,Technical & Advisory services,International Relations Division,ECOTEC RESEARCH AND CONSULTING LTD,400122349,"140,889.00"
