Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.06.2010 to 30.06.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,237694,2763252.3
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD COUNTY COUNCIL,237696,29527079.7
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BRADFORD METROPOLITAN BOROUGH COUNCIL,237698,7930933.04
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,CALDERDALE METROPOLITAN BOROUGH COUNCIL,237700,3347647.19
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,KIRKLEES COUNCIL,237702,4760209.35
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LEEDS CITY COUNCIL,237704,23707446.71
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD METROPOLITAN DISTRICT COUNCIL,237706,4572719.7
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,GATESHEAD METROPOLITAN BOROUGH COUNCIL,237708,5501664.57
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE CITY COUNCIL,237710,12380444.19
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,237712,1791059.08
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,237714,13370221.33
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SUNDERLAND COUNTY COUNCIL,237716,6025374.92
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,ISLE OF SCILLY COUNCIL,237718,1363021.18
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BATH AND NE SOMERSET COUNCIL,237720,1707392.32
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BRISTOL CITY COUNCIL,237722,40817817.23
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORTH SOMERSET DC,237724,1087476.21
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTH GLOUCESTERSHIRE COUNCIL,237726,5817638.99
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,HARTLEPOOL BOROUGH COUNCIL,237728,1335076.15
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,MIDDLESBOROUGH COUNCIL,237730,17267455.29
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,REDCAR AND CLEVELAND BOROUGH COUNCIL,237732,1649823.99
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,STOCKTON ON TEES,237734,2266839.49
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON HULL CITY COUNCIL,237736,24934448.21
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,EAST RIDING OF YORKSHIRE,237738,6454911.89
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORTH EAST LINCOLNSHIRE COUNCIL,237740,5793157.08
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORTH LINCOLNSHIRE COUNCIL,237742,6741204.2
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,NORTH YORKSHIRE COUNTY COUNCIL,237744,10823180.64
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,YORK CITY COUNCIL,237746,3949181
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,LUTON BOROUGH COUNCIL,237748,22508163.69
DfE,PfS,02/06/2010,Capital Grant,Schools Capital and Revenue Grants,BUCKINGAMSHIRE COUNTY COUNCIL,237750,5438482.79
