Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Descriptions,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,VOLUNTEERING ENGLAND,3000009683,"551,900.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,23/04/2010,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXISNEXIS,3000009669,"44,600.20","Halsburys Statutes, Library updates and Halsbury’s Laws",,,,,
Cabinet Office,CABINET OFFICE,26/04/2010,Other Staff Related Costs,CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000009712,"28,838.04",Fast Stream Recruitment,,,,,
Cabinet Office,CABINET OFFICE,26/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009699,"27,900.23",Facilities Management services,,,,,
Cabinet Office,CABINET OFFICE,26/04/2010,Purchased Software Licences,PARLIAMENTARY COUNSEL OFFICE,ORACLE CORPORATION UK LTD,3000009710,"26,116.82",Oracle Licences and technical support 2010-11,,,,,
Cabinet Office,Commission for the Compact,26/04/2010,Design and Printing,Communications,Central Office of Information,002-02-0006277,"81,104.00","Revised Compact - 2nd reprint plus mailing of two x A4 booklets to 35,717 recipients.",,,,,
Cabinet Office,CABINET OFFICE,27/04/2010,Land and Buildings,ESTATE MANAGEMENT,DTZ,1000219,"102,108.52",Rent charges for Cabinet Office Estate (10 Great George Street),,,,,
Cabinet Office,CABINET OFFICE,27/04/2010,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,FUTUREBUILDERS ENGLAND,3000009738,"71,254.82",Payment for the delivery and management of the Futurebuilders Fund - a loan and grant fund for organisations delivering public services,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,IT Software,CIVIL SERVICE CAPABILITY GROUP,TMP UK LTD,3000009817,"29,375.00",Fast Stream website development for 2011 Recruitment year,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,IT Costs,COMMUNICATION GROUP,FRESH NETWORKS,3000009792,"60,000.00",Design and build of the HMG web site.,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000009822,"31,695.04",Business rates charges for Cabinet Office Estate (Admiralty House),,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009789,"37,876.63",Facilities Management services ,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,IT Costs,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000009803,"68,018.25",Reprographics,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000009822,"173,847.03",Business rates charges for Cabinet Office Estate (Stockley House),,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000009822,"194,534.00",Business rates charges for Cabinet Office Estate (9 Whitehall),,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000009822,"251,010.05",Business rates charges for Cabinet Office Estate (36 Whitehall),,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000009822,"293,337.37",Business rates charges for Cabinet Office Estate (Tufton Street),,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000009822,"485,611.25",Business rates charges for Cabinet Office Estate (Admiralty Arch),,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000009822,"593,524.86",Business rates charges for Cabinet Office Estate (Ripley Kirkland),,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Hire of Plant and Machines,IT AND TELECOMS BRANCH,FUJITSU SERVICES LTD,3000009793,"101,436.46",ICT services,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,ASSOCIATION OF CHARITABLE FOUNDATIONS,3000009783,"42,000.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Consultancy,OFFICE FOR CIVIL SOCIETY,SHEFFIELD HALLAM UNIVERSITY,3000009813,"44,825.60",Futurebuilders Fund evaluation ,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY MATTERS,3000009786,"87,201.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,IT Costs,PRIME MINISTER'S OFFICE,OPEN TEXT CORPORATION,3000009806,"35,248.54",Electronic document records management system,,,,,
Cabinet Office,CABINET OFFICE,29/04/2010,IT Costs,PRIME MINISTER'S OFFICE,SOFTWARE BOX LTD,3000009814,"28,341.00",IT maintenance support contract,,,,,
Cabinet Office,CABINET OFFICE,30/04/2010,Supplies and Services,CO SHARED SERVICES,DWP NORCROSS,3000009844,"133,333.33","Provision of Accountancy Services, Employee Services, Civil Service Pensions and Purchase to Pay as per the Service Level Agreement",,,,,
Cabinet Office,CABINET OFFICE,30/04/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000009846,"64,848.65",Facilities Management services,,,,,
Cabinet Office,CABINET OFFICE,30/04/2010,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC,3000009839,"104,000.00",BBC Monitoring services subscription,,,,,
Cabinet Office,CABINET OFFICE,30/04/2010,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000009840,"116,071.20",National Resilience Extranet Final Milestone Payment 3,,,,,
Cabinet Office,CABINET OFFICE,30/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BASSAC,3000009838,"51,668.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,30/04/2010,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUTHNET UK,3000009870,"161,533.00",First payment Strategic grant 2010-11,,,,,
Cabinet Office,CABINET OFFICE,30/04/2010,Grants -in-Aid to Private Sector,OFFICE FOR CIVIL SOCIETY,MENTORING & BEFRIENDING FOUNDATION,3000009857,"350,200.00",First payment Strategic grant 2010-11,,,,,
