Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Descriptions,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Grant-in-Aid to Civil Service Welfare Bodies,CIVIL SERVICE WELFARE GRANTS,CIVIL SERVICE RETIREMENT FELLOWSHIP,1000201,"251,280.00",Grant to the Civil Service Retirement Fellowship,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Grant-in-Aid to Civil Service Welfare Bodies,CIVIL SERVICE WELFARE GRANTS,CIVIL SERVICE BENEVOLENT FUND,1000200,"435,000.00",Grant to the Civil Service Benevolent Fund,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Grant-in-Aid to Civil Service Welfare Bodies,CIVIL SERVICE WELFARE GRANTS,CIVIL SERVICE SPORTS COUNCIL,1000207,"1,232,000.00",Grant to the Civil Service Sports Council,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Supplies and Services,CO SHARED SERVICES,DWP NORCROSS,3000009363,"133,333.37","Provision of Accountancy Services, Employee Services, Civil Service Pensions and Purchase to Pay as per the Service Level Agreement",,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Consultancy,GOVERNMENT CIO,CESG,3000009353,"223,539.39",Provision of Information Assurance advice to PSN Programme.  This expenditure relates to full year costs for the financial year 2009/2010.,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,METROPOLITAN POLICE AUTHORITY,1000203,"511,389.10",6-month payment for the Metropolitan Police control room on behalf of Whitehall Departments for the Whitehall Secure Zone,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000009351,"2,050,000.00",BBC Monitoring services subscription,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,1000208,"1,052,260.65",Grassroots Grants payment - providing small grants and building endowments in local communities,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,1000208,"14,194,143.03",Grassroots Grants payment - providing small grants and building endowments in local communities,,,,,
Cabinet Office,CABINET OFFICE,13/04/2010,Grants-in-Aid to NDPB's,OFFICE OF THE THIRD SECTOR NDPBS,COMMISSION FOR THE COMPACT,3000009358,"150,000.00",Commission for the Compact grant-in-aid - to promote positive relations between civil society and Government,,,,,
