Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,Home Office,09/12/2010,FLEET.VEHICLE MANAGEMENT,Performance & Finance Directorate,LEX AUTOLEASE LTD,1868491,"34,475.43"
Home Office,Home Office,10/12/2010,IT & Telecommunications Equip.Hardware adapters,Communications,SPECIALIST COMPUTER CENTRES PLC,1860164,"112,514.62"
Home Office,Home Office,14/12/2010,Published Products.Electronic publication & music,Communications,SAVVIS UK LTD,1733842,"34,218.59"
Home Office,Home Office,14/12/2010,Published Products.Electronic publication & music,Communications,SAVVIS UK LTD,1752214,"33,877.28"
Home Office,Home Office,06/12/2010,Published Products.Electronic publication & music,Communications,SAVVIS UK LTD,1848809,"31,224.19"
Home Office,Home Office,30/12/2010,"Science, Technical & Research.Testing","Research, Dev & Statistics",EXCHEM DEFENCE SYSTEMS LTD,1882147,"29,316.25"
Home Office,Home Office,06/12/2010,"Science, Technical & Research.Social Research","Research, Dev & Statistics",UNIVERSITY OF LEEDS,1858718,"28,584.00"
Home Office,Home Office,02/12/2010,"Science, Technical & Research.Social Research","Research, Dev & Statistics",KINGS COLLEGE,1864302,"27,624.91"
Home Office,Home Office,20/12/2010,"Science, Technical & Research.Social Research","Research, Dev & Statistics",GCPD,1873126,"25,445.00"
Home Office,Home Office,29/12/2010,"Building, Construction Service.General building construction",CPG - Crime & Policing Group,GALLIFORD TRY CONSTRUCTION LIMITED SOUTH,1881119,"417,247.27"
Home Office,Home Office,23/12/2010,"Building, Construction Service.General building construction",CPG - Crime & Policing Group,WATES INTERIORS LTD,1851498,"143,987.48"
Home Office,Home Office,08/12/2010,"Building, Construction Service.General building construction",CPG - Crime & Policing Group,OFFICE PROJECTS LIMITED,1867275,"128,840.78"
Home Office,Home Office,24/12/2010,Real Estate management Serv.Property Management,CPG - Crime & Policing Group,ANNES GATE PROPERTY PLC,1872956,"3,633,637.63"
Home Office,Home Office,20/12/2010,ESTATES AND FACILITIES.RENT & RATES,CPG - Crime & Policing Group,DTZ DEBENHAM TIE LEUNG LTD,1875594,"1,123,638.74"
Home Office,Home Office,02/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,AMEY COMMUNITY,1862240,"1,109,391.92"
Home Office,Home Office,02/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,AMEY COMMUNITY,1862249,"813,673.05"
Home Office,Home Office,24/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1877179,"776,513.25"
Home Office,Home Office,24/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1877203,"649,793.72"
Home Office,Home Office,24/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1877183,"562,161.47"
Home Office,Home Office,02/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,AMEY COMMUNITY,1862243,"389,044.99"
Home Office,Home Office,02/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,AMEY COMMUNITY,1862254,"377,677.90"
Home Office,Home Office,24/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1877223,"266,203.91"
Home Office,Home Office,24/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1877217,"108,759.69"
Home Office,Home Office,24/12/2010,Professional & Admin Services.Facilities Man Serv - ADMN,CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1877208,"96,519.07"
Home Office,Home Office,14/12/2010,Utilities.Electric utilities - ADMN,CPG - Crime & Policing Group,EDF ENERGY,1871806,"80,345.14"
Home Office,Home Office,24/12/2010,"Building, Construction Service.Planned Interior finish-ADMN",CPG - Crime & Policing Group,ANNES GATE PROPERTY PLC,1872942,"68,462.68"
Home Office,Home Office,24/12/2010,Professional & Admin Services.Facilities management services,CPG - Crime & Policing Group,ANNES GATE PROPERTY PLC,1872958,"30,325.74"
Home Office,Home Office,14/12/2010,ESTATES AND FACILITIES.RENT & RATES,CPG - Crime & Policing Group,DTZ DEBENHAM TIE LEUNG LTD,1871648,"5,413,416.82"
Home Office,Home Office,21/12/2010,ESTATES AND FACILITIES.RENT & RATES,CPG - Crime & Policing Group,DTZ DEBENHAM TIE LEUNG LTD,1877005,"2,324,988.70"
Home Office,Home Office,08/12/2010,ESTATES AND FACILITIES.RENT & RATES,CPG - Crime & Policing Group,DTZ DEBENHAM TIE LEUNG LTD,1867149,"220,565.66"
Home Office,Home Office,02/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1864342,"183,683.87"
Home Office,Home Office,02/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1863701,"136,992.75"
Home Office,Home Office,13/12/2010,"Building, Construction Service.Build a new structure (FA)",CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1870835,"131,328.90"
Home Office,Home Office,14/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1872690,"104,513.32"
Home Office,Home Office,22/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1877860,"94,224.66"
Home Office,Home Office,30/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1881454,"75,984.37"
Home Office,Home Office,02/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1864359,"64,012.26"
Home Office,Home Office,10/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1869332,"59,669.84"
Home Office,Home Office,30/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1882149,"49,495.07"
Home Office,Home Office,02/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1864316,"48,664.80"
Home Office,Home Office,02/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1864354,"44,461.99"
Home Office,Home Office,30/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1881388,"41,376.33"
Home Office,Home Office,22/12/2010,Professional & Admin Services.Consultant - Imp & Del - PROG,CPG - Crime & Policing Group,DTZ DEBENHAM TIE LEUNG LTD,1877491,"41,361.47"
Home Office,Home Office,31/12/2010,"Building, Construction Service.Build a new structure (FA)",CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1882827,"41,021.41"
Home Office,Home Office,30/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1881405,"35,800.69"
Home Office,Home Office,07/12/2010,"Building, Construction Service.Build a new structure (FA)",CPG - Crime & Policing Group,INTERSERVE FACILITIES MANAGEMENT,1866351,"30,718.54"
Home Office,Home Office,30/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1882182,"30,462.22"
Home Office,Home Office,16/12/2010,"Transport, Storage & Mail Serv.Mailing, Mail Delivery Service",CPG - Crime & Policing Group,CENTRAL DESPATCH,1874813,"26,472.29"
Home Office,Home Office,20/12/2010,Politics & Civic Affairs.Human aid & relief Sect 4,CPG - Crime & Policing Group,VINCENT INVESTMENT PROPERTIES,1725658,"455,689.25"
Home Office,Home Office,02/12/2010,Public Utilities.Service Charges - ADMN,CPG - Crime & Policing Group,IDENTITY & PASSPORTS SERVICE,1861893,"97,230.99"
Home Office,Home Office,02/12/2010,Public Utilities.Service Charges - ADMN,CPG - Crime & Policing Group,IDENTITY & PASSPORTS SERVICE,1861891,"31,827.85"
Home Office,Home Office,21/12/2010,"Building, Construction Service.General building construction",CPG - Crime & Policing Group,NEW HALL PLACE UNIT TRUST,1872808,"831,564.22"
Home Office,Home Office,15/12/2010,"Building, Construction Service.General building construction",CPG - Crime & Policing Group,MANSELL CONSTRUCTION SERVICES LTD,1866500,"376,617.12"
Home Office,Home Office,02/12/2010,"Building, Construction Service.Building ConstructionServ-PROG",CPG - Crime & Policing Group,AMEY COMMUNITY,1864338,"209,123.89"
Home Office,Home Office,21/12/2010,Professional & Admin Services.Consultant - Imp & Del - PROG,CPG - Crime & Policing Group,JACOBS ENGINEERING UK,1862892,"57,502.73"
Home Office,Home Office,24/12/2010,"Building, Construction Service.General building construction",CPG - Crime & Policing Group,H WATERHOUSE & SONS (WAKEFIELD) LTD,1878448,"28,444.76"
Home Office,Home Office,13/12/2010,ESTATES AND FACILITIES.RENT & RATES,CPG - Crime & Policing Group,DTZ DEBENHAM TIE LEUNG LTD,1871488,"8,626,249.74"
